claim_id,claim_amount,policy_age_months,report_delay_days,num_prior_claims,incident_type,has_police_report,has_witness,claimant_age,region,is_fraud
CLM500066,9419.0,160,7.0,0,Accident,1,1,44.0,South,0
CLM500067,49865.0,219,4.0,1,NaturalDisaster,1,1,47.0,North,0
CLM500068,14444.0,238,1.0,0,Accident,0,1,70.0,North,0
CLM500069,194471.0,28,3.0,0,Accident,1,1,47.0,South,0
CLM500070,274674.0,114,4.0,1,Theft,1,1,61.0,East,0
CLM500071,25074.0,223,7.0,0,Medical,0,0,48.0,East,0
CLM500072,7848.0,7,6.0,0,Accident,1,1,54.0,South,0
CLM500073,50163.0,209,6.0,1,Accident,1,0,31.0,Central,0
CLM500074,159378.0,96,7.0,1,Medical,0,0,19.0,North,0
CLM500075,10406.0,128,7.0,0,Fire,0,0,44.0,East,0
CLM500076,135733.0,31,5.0,0,Accident,0,1,70.0,Central,0
CLM500077,6774.0,82,5.0,1,Theft,1,0,54.0,North,0
CLM500078,9289.0,230,4.0,1,Accident,1,1,50.0,South,0
CLM500079,38070.0,222,6.0,0,Medical,0,0,23.0,East,0
CLM500080,67062.0,34,8.0,0,Fire,1,1,26.0,North,0
CLM500081,28194.0,135,2.0,0,Theft,0,0,45.0,Central,0
CLM500082,42597.0,29,3.0,1,Medical,0,0,52.0,North,0
CLM500083,71936.0,237,7.0,1,Accident,0,0,38.0,East,0
CLM500084,78917.0,110,1.0,0,Theft,1,0,60.0,West,0
CLM500085,18073.0,62,6.0,1,Accident,1,0,18.0,South,0
CLM500086,14902.0,130,8.0,0,Accident,0,1,71.0,North,0
CLM500087,69069.0,49,3.0,2,Accident,0,0,28.0,North,0
CLM500088,42761.0,172,5.0,0,NaturalDisaster,1,0,35.0,Central,0
CLM500089,47619.0,83,,0,Accident,1,1,33.0,West,0
CLM500090,17519.0,88,2.0,0,Medical,1,1,38.0,West,0
CLM500091,49536.0,181,1.0,1,Fire,0,1,64.0,South,0
CLM500092,12387.0,215,5.0,0,Medical,0,0,60.0,Central,0
CLM500093,36235.0,49,2.0,0,Theft,1,1,32.0,North,0
CLM500094,32514.0,144,3.0,0,Theft,0,1,71.0,Central,0
CLM500095,32694.0,74,2.0,1,Accident,0,1,30.0,West,0
CLM500096,55546.0,12,9.0,0,Accident,0,1,73.0,West,0
CLM500097,13146.0,62,5.0,2,Accident,1,1,35.0,North,0
CLM500098,51100.0,9,11.0,0,Theft,1,0,49.0,South,0
CLM500099,30228.0,187,,2,Theft,1,0,55.0,Central,0
CLM500100,15784.0,113,8.0,2,Accident,1,1,34.0,East,0
CLM500101,10327.0,131,5.0,0,Theft,1,0,41.0,East,0
CLM500102,134718.0,106,3.0,0,Accident,1,1,28.0,West,0
CLM500103,28126.0,65,4.0,0,Accident,1,0,58.0,South,0
CLM500104,22382.0,109,7.0,0,Accident,1,0,18.0,North,0
CLM500105,11909.0,37,6.0,0,Theft,1,1,61.0,Central,0
CLM500106,71035.0,14,3.0,1,Medical,0,0,67.0,West,0
CLM500107,66761.0,38,5.0,1,Accident,1,1,26.0,North,0
CLM500108,57228.0,13,6.0,0,Accident,0,1,72.0,West,0
CLM500109,28316.0,133,4.0,0,Accident,0,0,24.0,North,0
CLM500110,54231.0,15,2.0,0,Accident,0,1,61.0,North,0
CLM500111,15382.0,94,1.0,0,Medical,0,1,48.0,West,0
CLM500112,35387.0,176,6.0,1,Medical,0,0,62.0,West,0
CLM500113,28468.0,138,6.0,0,Medical,0,0,70.0,Central,0
CLM500114,36814.0,144,3.0,0,Theft,0,1,53.0,East,0
CLM500115,6971.0,69,9.0,0,Fire,1,1,33.0,North,0
CLM500116,132687.0,33,7.0,0,Accident,0,1,68.0,East,0
CLM500117,108535.0,38,8.0,0,Medical,0,0,59.0,East,0
CLM500118,11849.0,104,4.0,0,NaturalDisaster,0,1,37.0,Central,0
CLM500119,47188.0,213,8.0,0,Accident,1,1,67.0,South,0
CLM500120,9049.0,226,3.0,1,Accident,1,0,47.0,Central,0
CLM500121,31796.0,33,3.0,0,Theft,0,1,36.0,North,0
CLM500122,5133.0,17,3.0,0,Accident,1,0,25.0,Central,0
CLM500123,23536.0,112,5.0,1,NaturalDisaster,1,1,69.0,Central,0
CLM500124,20127.0,46,9.0,0,Medical,0,0,61.0,Central,1
CLM500125,75011.0,33,1.0,1,Theft,1,0,56.0,West,0
CLM500126,112959.0,94,9.0,0,Fire,0,0,,West,0
CLM500127,115012.0,230,5.0,0,Accident,0,1,42.0,West,0
CLM500128,75102.0,57,2.0,0,Medical,0,0,22.0,Central,0
CLM500129,31759.0,21,7.0,1,Accident,0,1,55.0,North,0
CLM500130,40564.0,38,4.0,0,Medical,0,1,31.0,East,0
CLM500131,40407.0,149,4.0,0,Accident,0,0,45.0,Central,0
CLM500132,11565.0,233,5.0,0,Fire,0,0,60.0,South,0
CLM500133,74365.0,230,5.0,0,Theft,1,1,34.0,South,0
CLM500134,51640.0,184,9.0,1,Accident,1,0,26.0,South,0
CLM500135,53595.0,127,8.0,1,Accident,1,1,21.0,Central,1
CLM500136,4793.0,175,3.0,0,Theft,1,1,36.0,North,0
CLM500137,42710.0,15,5.0,0,Accident,1,1,58.0,East,0
CLM500138,66470.0,223,2.0,0,Accident,1,1,20.0,South,0
CLM500139,29372.0,188,5.0,1,Accident,1,1,71.0,Central,0
CLM500140,19919.0,45,2.0,2,Accident,1,1,39.0,Central,0
CLM500141,9997.0,71,3.0,2,Accident,0,0,31.0,West,0
CLM500142,9440.0,213,4.0,2,Accident,0,1,72.0,Central,0
CLM500143,33640.0,130,6.0,1,Medical,0,1,29.0,East,0
CLM500144,24642.0,235,7.0,0,Accident,1,0,42.0,South,0
CLM500145,24367.0,96,4.0,0,Medical,1,0,73.0,East,0
CLM500146,101027.0,141,5.0,0,Medical,1,0,41.0,North,0
CLM500147,10886.0,2,11.0,3,NaturalDisaster,0,0,48.0,South,0
CLM500148,22549.0,216,3.0,0,Medical,1,0,73.0,West,0
CLM500149,115299.0,200,9.0,1,Medical,0,1,20.0,West,0
CLM500150,23163.0,196,7.0,2,Medical,0,0,53.0,West,0
CLM500151,31352.0,181,5.0,0,Fire,0,1,50.0,West,0
CLM500152,25846.0,76,8.0,0,Accident,1,1,23.0,Central,0
CLM500153,52294.0,9,1.0,1,NaturalDisaster,0,1,21.0,Central,0
CLM500154,5744.0,80,7.0,0,Accident,1,1,72.0,West,0
CLM500155,25269.0,161,5.0,0,Fire,0,0,,North,0
CLM500156,31056.0,162,4.0,0,Accident,1,1,56.0,North,0
CLM500157,13379.0,206,4.0,0,Accident,1,0,19.0,West,0
CLM500158,39139.0,132,,2,Fire,1,0,56.0,Central,0
CLM500159,55776.0,82,2.0,0,Theft,1,0,56.0,East,0
CLM500160,42683.0,93,6.0,0,Fire,1,0,59.0,Central,0
CLM500161,123429.0,235,7.0,1,Medical,0,1,39.0,East,0
CLM500162,21022.0,12,4.0,0,Accident,0,1,34.0,South,0
CLM500163,44305.0,157,5.0,0,Medical,0,1,68.0,North,0
CLM500164,43514.0,6,8.0,3,Accident,0,0,74.0,North,0
CLM500165,24625.0,111,,0,Medical,1,1,25.0,North,0
CLM500166,73623.0,24,8.0,0,Fire,0,1,62.0,Central,0
CLM500167,37444.0,54,4.0,1,Theft,1,1,47.0,Central,0
CLM500168,11375.0,97,7.0,1,Theft,1,1,26.0,East,0
CLM500169,54202.0,78,7.0,0,Accident,1,0,73.0,North,0
CLM500170,19940.0,7,4.0,0,Accident,1,1,47.0,North,0
CLM500171,22967.0,188,9.0,2,Accident,1,1,29.0,Central,0
CLM500172,24369.0,36,5.0,0,Fire,0,1,21.0,West,0
CLM500173,53543.0,171,8.0,0,Medical,1,0,19.0,South,0
CLM500174,70487.0,232,5.0,0,Medical,0,1,18.0,North,0
CLM500175,26171.0,60,6.0,0,Medical,1,0,27.0,West,0
CLM500176,24997.0,108,6.0,0,NaturalDisaster,0,0,56.0,East,0
CLM500177,5781.0,155,6.0,1,Accident,0,1,47.0,Central,0
CLM500178,16851.0,224,3.0,1,Fire,0,0,35.0,Central,0
CLM500179,13941.0,91,1.0,0,Accident,0,1,31.0,East,0
CLM500180,38138.0,46,5.0,0,Accident,0,1,38.0,South,0
CLM500181,27292.0,27,2.0,3,Theft,0,1,29.0,North,0
CLM500182,14370.0,86,9.0,1,Theft,1,0,,North,0
CLM500183,33596.0,199,3.0,0,Medical,0,1,36.0,Central,0
CLM500184,28166.0,161,4.0,0,Fire,1,1,41.0,South,0
CLM500185,3896.0,55,7.0,4,Accident,1,1,63.0,North,0
CLM500186,72138.0,237,3.0,1,Fire,0,1,58.0,Central,0
CLM500187,66750.0,154,6.0,0,Accident,1,0,21.0,West,0
CLM500188,24579.0,168,7.0,1,Medical,0,0,59.0,Central,0
CLM500189,39422.0,1,4.0,0,Accident,1,1,66.0,Central,0
CLM500190,22920.0,216,3.0,0,Accident,0,1,58.0,North,0
CLM500191,8237.0,17,6.0,0,Theft,1,0,62.0,South,0
CLM500192,167876.0,12,6.0,2,Theft,0,0,41.0,North,0
CLM500193,54166.0,166,6.0,1,Fire,1,1,61.0,West,0
CLM500194,63100.0,73,4.0,0,Fire,0,0,45.0,North,0
CLM500195,23679.0,224,5.0,0,Accident,0,1,73.0,East,0
CLM500196,73188.0,211,6.0,0,Fire,0,0,41.0,Central,0
CLM500197,9935.0,131,2.0,0,Accident,0,0,67.0,North,0
CLM500198,24431.0,126,1.0,0,Medical,0,0,34.0,East,0
CLM500199,53737.0,40,2.0,1,Theft,0,0,72.0,East,0
CLM500200,18008.0,41,3.0,0,Accident,1,1,18.0,North,0
CLM500201,61609.0,3,2.0,0,Accident,1,0,18.0,North,0
CLM500202,37911.0,41,8.0,0,Medical,0,1,23.0,East,0
CLM500203,35161.0,106,3.0,1,NaturalDisaster,1,0,71.0,South,0
CLM500204,16713.0,182,2.0,0,Medical,1,1,21.0,West,0
CLM500205,41089.0,18,7.0,0,Theft,1,1,66.0,Central,0
CLM500206,139530.0,38,6.0,1,Accident,1,0,34.0,North,0
CLM500207,34208.0,91,8.0,2,Accident,0,1,39.0,South,0
CLM500208,46387.0,119,3.0,2,Theft,1,1,48.0,West,0
CLM500209,52199.0,102,4.0,2,Theft,1,1,52.0,West,0
CLM500210,11902.0,44,7.0,0,Medical,1,0,54.0,East,0
CLM500211,26741.0,181,6.0,3,Accident,0,0,18.0,Central,0
CLM500212,26097.0,50,6.0,1,Accident,0,1,30.0,Central,0
CLM500213,5432.0,29,3.0,0,Accident,0,0,62.0,Central,0
CLM500214,55892.0,95,2.0,0,Theft,0,1,,West,0
CLM500215,14109.0,237,5.0,0,Theft,1,1,51.0,East,0
CLM500216,51211.0,29,5.0,0,Medical,0,1,71.0,West,0
CLM500217,16213.0,31,7.0,0,Accident,0,0,41.0,South,0
CLM500218,152313.0,158,2.0,1,Medical,1,0,44.0,East,0
CLM500219,23793.0,149,2.0,1,Accident,1,0,25.0,Central,0
CLM500220,138265.0,40,6.0,0,Theft,0,0,43.0,North,0
CLM500221,25896.0,156,7.0,0,Theft,0,1,39.0,West,0
CLM500222,28488.0,180,3.0,0,Accident,0,0,57.0,West,0
CLM500223,104117.0,153,3.0,0,NaturalDisaster,0,1,34.0,East,0
CLM500224,14270.0,125,9.0,0,Medical,1,1,61.0,South,0
CLM500225,30945.0,110,5.0,0,Theft,1,1,66.0,North,0
CLM500226,45781.0,83,9.0,0,Accident,1,0,36.0,Central,0
CLM500227,41070.0,17,9.0,2,Medical,1,1,25.0,Central,0
CLM500228,30774.0,147,5.0,0,Accident,1,1,42.0,Central,0
CLM500229,27572.0,190,7.0,0,Accident,1,1,24.0,Central,0
CLM500230,58522.0,98,5.0,0,Accident,1,1,,West,1
CLM500231,34250.0,176,10.0,1,Medical,0,1,69.0,North,0
CLM500232,64415.0,20,4.0,0,Theft,1,1,54.0,North,0
CLM500233,40681.0,24,7.0,0,Fire,0,1,51.0,Central,0
CLM500234,50019.0,74,4.0,2,Accident,1,0,72.0,Central,0
CLM500235,73633.0,83,5.0,0,NaturalDisaster,1,1,57.0,Central,0
CLM500236,23201.0,126,4.0,1,Accident,0,0,29.0,North,0
CLM500237,72053.0,8,3.0,1,Medical,1,0,69.0,West,0
CLM500238,26227.0,25,3.0,0,Fire,0,0,74.0,South,0
CLM500239,9696.0,174,6.0,1,Medical,1,1,61.0,South,0
CLM500240,22849.0,176,5.0,3,Theft,1,0,59.0,South,0
CLM500241,16678.0,184,2.0,1,Accident,1,0,24.0,North,0
CLM500242,40146.0,86,4.0,0,Theft,1,1,70.0,North,0
CLM500243,23656.0,161,2.0,0,Medical,1,0,18.0,Central,0
CLM500244,32935.0,49,8.0,1,Theft,1,0,51.0,West,0
CLM500245,66928.0,208,7.0,3,Medical,1,0,28.0,West,0
CLM500246,97599.0,2,7.0,1,Medical,1,1,54.0,North,0
CLM500247,37578.0,147,1.0,0,Medical,0,0,50.0,Central,0
CLM500248,70864.0,21,9.0,0,Theft,0,0,61.0,South,0
CLM500249,25804.0,198,3.0,0,Accident,1,0,23.0,East,0
CLM500250,8514.0,57,6.0,0,Theft,1,1,44.0,South,0
CLM500251,11574.0,6,3.0,1,Accident,0,1,21.0,Central,0
CLM500252,25424.0,88,4.0,1,Accident,0,0,63.0,East,0
CLM500253,56189.0,215,3.0,1,Accident,0,1,40.0,West,0
CLM500254,25481.0,37,3.0,0,Theft,0,0,56.0,North,0
CLM500255,76780.0,66,3.0,0,Theft,1,1,34.0,West,0
CLM500256,128710.0,131,6.0,0,NaturalDisaster,0,0,58.0,West,0
CLM500257,14609.0,209,3.0,0,Fire,1,1,70.0,East,0
CLM500258,162737.0,47,3.0,1,Accident,1,1,50.0,West,0
CLM500259,8040.0,87,5.0,0,Accident,0,1,38.0,South,0
CLM500260,130492.0,229,9.0,1,Medical,1,0,35.0,Central,0
CLM500261,28946.0,167,3.0,1,Accident,0,1,23.0,West,0
CLM500262,24679.0,135,1.0,1,Medical,1,0,69.0,South,0
CLM500263,29542.0,87,7.0,0,Accident,1,1,62.0,Central,0
CLM500264,15678.0,191,4.0,1,Theft,0,1,72.0,North,0
CLM500265,98839.0,226,3.0,0,Medical,1,1,56.0,Central,0
CLM500266,17093.0,101,4.0,2,Accident,0,1,22.0,North,1
CLM500267,18928.0,228,5.0,3,Accident,1,1,46.0,East,0
CLM500268,9864.0,49,6.0,0,Accident,0,0,34.0,Central,0
CLM500269,16572.0,202,5.0,0,NaturalDisaster,1,1,62.0,Central,0
CLM500270,16980.0,108,7.0,1,Theft,0,0,23.0,North,0
CLM500271,16093.0,51,1.0,0,Accident,1,0,70.0,North,0
CLM500272,25834.0,99,1.0,2,Accident,0,1,30.0,Central,0
CLM500273,12188.0,98,5.0,0,NaturalDisaster,1,0,20.0,Central,0
CLM500274,106470.0,150,2.0,0,Accident,0,0,19.0,West,0
CLM500275,26311.0,191,3.0,0,Accident,0,1,37.0,East,0
CLM500276,40104.0,218,2.0,1,Theft,0,1,33.0,North,0
CLM500277,59245.0,33,2.0,0,Fire,1,0,35.0,North,0
CLM500278,150234.0,57,4.0,3,Accident,1,0,62.0,North,0
CLM500279,61569.0,200,3.0,0,Accident,0,1,22.0,North,0
CLM500280,24385.0,24,9.0,0,Fire,0,1,22.0,South,0
CLM500281,12605.0,72,10.0,0,Medical,0,1,21.0,East,0
CLM500282,38967.0,171,2.0,2,Accident,1,0,64.0,West,0
CLM500283,69553.0,129,5.0,1,Theft,1,0,68.0,West,0
CLM500284,33308.0,1,6.0,0,Accident,0,1,48.0,South,0
CLM500285,31325.0,36,4.0,1,Medical,1,0,50.0,North,0
CLM500286,35270.0,190,3.0,0,Accident,1,0,50.0,West,0
CLM500287,6662.0,82,6.0,0,Accident,0,0,48.0,South,0
CLM500288,33429.0,174,4.0,0,Accident,0,1,19.0,Central,0
CLM500289,53414.0,161,,1,Accident,0,0,53.0,North,0
CLM500290,28666.0,198,3.0,0,Medical,1,0,41.0,Central,0
CLM500291,73043.0,139,3.0,1,Fire,1,0,67.0,East,0
CLM500292,75020.0,22,6.0,0,Accident,0,1,60.0,East,0
CLM500293,19868.0,31,9.0,1,Medical,0,1,68.0,West,0
CLM500294,42338.0,49,6.0,0,Theft,0,1,46.0,West,0
CLM500295,30767.0,44,6.0,0,Theft,0,1,37.0,North,0
CLM500296,5867.0,132,4.0,0,Accident,0,0,52.0,North,0
CLM500297,25598.0,111,7.0,1,Accident,0,0,22.0,Central,0
CLM500298,13034.0,79,9.0,3,Medical,0,0,34.0,Central,0
CLM500299,33097.0,136,1.0,0,Medical,0,1,50.0,South,0
CLM500300,51339.0,203,3.0,0,Accident,0,1,33.0,South,0
CLM500301,24982.0,90,5.0,0,Accident,0,0,40.0,East,0
CLM500302,14472.0,110,6.0,0,Theft,1,0,29.0,East,0
CLM500303,35853.0,212,5.0,0,Medical,1,1,22.0,East,0
CLM500304,210021.0,103,7.0,0,Accident,1,0,20.0,North,0
CLM500305,5230.0,20,6.0,1,Fire,1,1,72.0,North,0
CLM500306,35819.0,45,12.0,1,Accident,1,0,40.0,East,0
CLM500307,19244.0,65,4.0,2,Medical,1,0,31.0,South,0
CLM500308,21144.0,135,5.0,0,Theft,0,0,65.0,South,0
CLM500309,27344.0,97,9.0,0,Theft,0,1,44.0,Central,0
CLM500310,22579.0,83,5.0,0,Theft,0,1,69.0,East,0
CLM500311,48120.0,199,3.0,0,Fire,1,0,67.0,Central,0
CLM500312,24503.0,108,4.0,1,Accident,1,0,48.0,South,0
CLM500313,5274.0,114,10.0,1,Medical,1,1,63.0,South,0
CLM500314,82763.0,65,8.0,2,Fire,1,1,49.0,North,0
CLM500315,73381.0,111,8.0,2,Theft,1,1,26.0,Central,0
CLM500316,18299.0,146,5.0,1,NaturalDisaster,0,0,29.0,West,0
CLM500317,30940.0,220,5.0,0,Fire,1,0,51.0,South,0
CLM500318,78753.0,201,4.0,1,Medical,0,1,51.0,East,0
CLM500319,67950.0,1,1.0,1,Accident,1,1,43.0,Central,0
CLM500320,88071.0,5,6.0,3,Accident,0,0,47.0,South,0
CLM500321,40118.0,200,7.0,1,Accident,0,0,74.0,East,0
CLM500322,55030.0,56,6.0,0,Medical,1,1,49.0,South,0
CLM500323,91768.0,6,3.0,0,Fire,0,0,21.0,East,0
CLM500324,22592.0,162,5.0,1,NaturalDisaster,0,1,,East,0
CLM500325,42298.0,233,3.0,0,Accident,1,1,32.0,West,0
CLM500326,5339.0,169,5.0,0,Theft,1,1,74.0,West,0
CLM500327,8401.0,33,3.0,0,Accident,1,1,51.0,North,0
CLM500328,44355.0,71,4.0,0,Medical,1,1,43.0,East,0
CLM500329,50118.0,70,5.0,0,Medical,1,0,46.0,West,0
CLM500330,21811.0,69,8.0,0,Medical,0,0,47.0,East,0
CLM500331,18304.0,150,6.0,0,Accident,1,1,,South,0
CLM500332,22372.0,179,2.0,0,Theft,1,1,,East,0
CLM500333,34665.0,71,4.0,0,Medical,0,1,25.0,North,0
CLM500334,4670.0,134,4.0,1,Fire,0,0,45.0,South,0
CLM500335,43152.0,117,9.0,0,Accident,1,1,32.0,West,0
CLM500336,30514.0,93,2.0,0,Medical,0,0,65.0,North,0
CLM500337,36241.0,44,7.0,0,Accident,0,1,30.0,Central,0
CLM500338,26931.0,14,2.0,0,Accident,0,0,30.0,South,0
CLM500339,9833.0,226,4.0,1,Theft,1,0,72.0,East,0
CLM500340,12350.0,157,2.0,1,Accident,1,0,72.0,Central,0
CLM500341,100588.0,202,7.0,0,Accident,1,0,66.0,East,0
CLM500342,17781.0,71,2.0,1,Accident,1,0,30.0,Central,0
CLM500343,56741.0,51,1.0,1,Medical,1,0,56.0,East,0
CLM500344,12508.0,138,3.0,2,Accident,1,0,70.0,West,0
CLM500345,29378.0,167,6.0,0,Theft,1,0,65.0,South,0
CLM500346,20899.0,173,8.0,1,Theft,1,0,40.0,West,0
CLM500347,23624.0,131,6.0,0,Medical,1,0,,Central,0
CLM500348,22652.0,111,4.0,1,Theft,1,1,21.0,East,0
CLM500349,94385.0,135,6.0,1,Theft,0,0,41.0,Central,0
CLM500350,138967.0,61,10.0,0,Theft,1,1,56.0,Central,0
CLM500351,35958.0,39,6.0,0,Theft,1,0,62.0,East,0
CLM500352,21372.0,52,3.0,2,Theft,0,0,68.0,South,0
CLM500353,10266.0,81,6.0,0,NaturalDisaster,0,1,27.0,North,0
CLM500354,9716.0,169,3.0,1,Theft,1,1,58.0,North,0
CLM500355,94796.0,208,1.0,0,Accident,1,1,25.0,East,0
CLM500356,9183.0,214,6.0,0,Theft,1,0,24.0,East,0
CLM500357,20905.0,95,10.0,1,Fire,1,0,43.0,East,0
CLM500358,33666.0,235,7.0,1,Accident,1,0,37.0,North,0
CLM500359,3710.0,236,6.0,0,Medical,0,0,32.0,South,0
CLM500360,10933.0,192,3.0,0,Medical,1,0,22.0,Central,0
CLM500361,10191.0,17,5.0,3,Fire,0,0,64.0,West,0
CLM500362,17456.0,145,3.0,0,Medical,0,1,74.0,Central,0
CLM500363,36569.0,68,1.0,0,Accident,0,0,59.0,West,0
CLM500364,67658.0,207,4.0,1,Accident,0,0,28.0,West,0
CLM500365,17486.0,54,4.0,1,Accident,0,1,44.0,Central,0
CLM500366,20551.0,94,5.0,1,Theft,0,1,67.0,East,0
CLM500367,27020.0,60,1.0,0,Medical,1,1,26.0,Central,0
CLM500368,15608.0,211,5.0,0,Accident,0,1,23.0,Central,0
CLM500369,41533.0,137,9.0,2,Accident,0,1,55.0,West,0
CLM500370,42572.0,103,3.0,0,NaturalDisaster,0,0,20.0,North,0
CLM500371,3370.0,195,3.0,0,Medical,1,0,57.0,South,0
CLM500372,49590.0,143,7.0,2,Accident,0,1,65.0,South,0
CLM500373,32918.0,145,3.0,0,Theft,0,1,52.0,South,0
CLM500374,36571.0,41,3.0,0,Accident,1,1,43.0,West,0
CLM500375,76395.0,91,10.0,0,Accident,1,0,67.0,East,0
CLM500376,7122.0,119,3.0,0,Accident,0,0,48.0,East,0
CLM500377,10890.0,101,4.0,0,Theft,1,0,43.0,East,0
CLM500378,28108.0,82,1.0,1,Accident,0,0,55.0,South,0
CLM500379,4642.0,236,10.0,0,NaturalDisaster,1,0,36.0,South,0
CLM500380,25101.0,88,3.0,1,Accident,1,1,27.0,East,0
CLM500381,58504.0,143,6.0,0,Medical,1,0,39.0,West,0
CLM500382,40836.0,143,4.0,1,Accident,0,1,,North,0
CLM500383,31672.0,51,6.0,0,Medical,0,1,51.0,South,0
CLM500384,24682.0,211,6.0,3,Accident,0,1,25.0,West,0
CLM500385,21114.0,37,9.0,0,Medical,0,0,21.0,South,0
CLM500386,20163.0,198,3.0,0,Accident,1,1,32.0,Central,0
CLM500387,35703.0,143,2.0,0,Medical,0,1,65.0,North,0
CLM500388,8598.0,84,2.0,0,Theft,0,0,60.0,Central,0
CLM500389,95845.0,65,1.0,1,Accident,1,0,20.0,South,0
CLM500390,16480.0,176,5.0,1,Accident,1,0,51.0,West,0
CLM500391,46451.0,108,4.0,1,Medical,0,1,20.0,East,0
