customer_id,age,bmi,is_smoker,annual_income,credit_score,prior_violations,occupation_class,vehicle_age,region,risk_tier
CUS300061,36,21.1,0,607023.0,526.0,0,Class3_Manual,0,North,Low
CUS300062,56,25.5,0,356799.0,785.0,1,Class1_Office,9,East,Low
CUS300063,19,24.6,0,450982.0,590.0,0,Class1_Office,2,East,Low
CUS300064,26,26.4,0,674860.0,804.0,0,Class1_Office,12,East,Low
CUS300065,40,30.4,0,630658.0,558.0,1,Class2_Field,13,North,Low
CUS300066,29,26.2,0,367989.0,670.0,1,Class3_Manual,11,East,Medium
CUS300067,52,23.5,1,498598.0,746.0,1,Class1_Office,7,West,Medium
CUS300068,55,29.2,1,445390.0,325.0,0,Class2_Field,10,East,High
CUS300069,54,27.1,1,1128907.0,567.0,1,Class1_Office,1,Central,High
CUS300070,31,22.6,0,529730.0,330.0,0,Class1_Office,4,East,Low
CUS300071,32,22.1,0,419534.0,316.0,1,Class4_Hazardous,7,East,Low
CUS300072,55,25.3,0,288118.0,863.0,0,Class2_Field,2,North,Medium
CUS300073,58,22.6,0,276954.0,388.0,1,Class2_Field,3,South,Medium
CUS300074,68,21.1,1,225902.0,855.0,0,Class1_Office,3,South,Medium
CUS300075,44,29.7,1,761744.0,622.0,0,Class1_Office,6,North,Medium
CUS300076,45,,0,273992.0,650.0,1,Class3_Manual,13,South,Low
CUS300077,73,34.0,1,291853.0,743.0,1,Class1_Office,9,North,High
CUS300078,38,25.5,0,145281.0,799.0,0,Class2_Field,8,North,Low
CUS300079,31,27.9,0,367688.0,326.0,0,Class1_Office,9,East,Low
CUS300080,22,23.3,0,194478.0,842.0,0,Class1_Office,8,West,Low
CUS300081,45,25.4,1,206944.0,358.0,0,Class4_Hazardous,8,South,High
CUS300082,34,21.9,0,838246.0,343.0,0,Class1_Office,15,East,Low
CUS300083,45,30.7,1,537530.0,736.0,1,Class4_Hazardous,14,North,High
CUS300084,61,24.9,1,384742.0,359.0,2,Class1_Office,0,South,High
CUS300085,27,30.2,0,934273.0,853.0,1,Class2_Field,5,West,Low
CUS300086,62,29.6,0,450650.0,804.0,0,Class1_Office,13,South,Medium
CUS300087,18,27.3,0,251098.0,662.0,2,Class1_Office,15,East,Low
CUS300088,53,27.5,0,849898.0,317.0,0,Class2_Field,15,North,Low
CUS300089,32,21.8,0,814417.0,503.0,0,Class3_Manual,7,North,Low
CUS300090,68,21.6,0,321585.0,449.0,1,Class1_Office,3,North,Medium
CUS300091,35,17.2,0,379226.0,399.0,1,Class2_Field,10,South,Low
CUS300092,68,22.3,1,396236.0,438.0,0,Class1_Office,7,North,Medium
CUS300093,26,22.1,0,1422419.0,829.0,2,Class2_Field,10,North,Low
CUS300094,50,29.6,0,391241.0,427.0,2,Class1_Office,10,North,High
CUS300095,30,29.8,1,423646.0,368.0,0,Class1_Office,4,Central,Medium
CUS300096,57,25.5,0,340507.0,697.0,1,Class1_Office,15,North,Medium
CUS300097,52,27.9,0,330656.0,765.0,0,Class1_Office,4,West,Medium
CUS300098,47,21.4,0,712878.0,720.0,3,Class3_Manual,11,South,Low
CUS300099,47,24.7,0,1212074.0,838.0,1,Class3_Manual,5,East,Medium
CUS300100,71,19.0,0,324220.0,513.0,1,Class3_Manual,6,East,Low
CUS300101,42,24.9,0,122726.0,343.0,0,Class3_Manual,7,West,Medium
CUS300102,29,25.2,1,567603.0,369.0,1,Class1_Office,9,East,Medium
CUS300103,63,20.3,0,108502.0,814.0,1,Class1_Office,10,West,Low
CUS300104,70,29.0,1,453257.0,753.0,0,Class2_Field,5,East,Medium
CUS300105,19,22.8,0,528397.0,839.0,1,Class2_Field,15,East,Low
CUS300106,40,16.9,0,222324.0,559.0,2,Class2_Field,8,Central,Low
CUS300107,74,21.8,1,595668.0,541.0,0,Class3_Manual,13,North,High
CUS300108,61,28.7,0,482825.0,530.0,0,Class2_Field,7,West,Low
CUS300109,67,18.5,0,179204.0,336.0,1,Class3_Manual,2,South,Medium
CUS300110,65,26.5,0,309735.0,418.0,2,Class2_Field,0,West,Medium
CUS300111,74,22.0,0,514818.0,449.0,0,Class3_Manual,14,South,Medium
CUS300112,28,22.5,0,917684.0,500.0,1,Class3_Manual,8,East,Low
CUS300113,22,22.1,0,369791.0,855.0,2,Class3_Manual,9,South,Low
CUS300114,70,23.5,0,424188.0,729.0,0,Class1_Office,0,East,Medium
CUS300115,48,23.2,1,284645.0,722.0,2,Class3_Manual,11,North,Medium
CUS300116,22,29.7,0,595806.0,510.0,0,Class2_Field,9,South,Low
CUS300117,54,29.0,0,488945.0,494.0,0,Class1_Office,2,East,Medium
CUS300118,60,29.7,0,713576.0,,0,Class2_Field,5,Central,Medium
CUS300119,68,26.0,0,356287.0,768.0,0,Class3_Manual,8,North,High
CUS300120,72,25.2,1,309237.0,670.0,0,Class2_Field,15,Central,High
CUS300121,62,26.6,0,421248.0,449.0,0,Class3_Manual,1,East,Medium
CUS300122,73,28.0,1,472916.0,358.0,0,Class1_Office,14,Central,High
CUS300123,30,25.9,0,630312.0,530.0,1,Class3_Manual,1,West,Low
CUS300124,22,25.5,0,732758.0,845.0,0,Class2_Field,8,Central,Low
CUS300125,64,30.7,1,670598.0,777.0,2,Class2_Field,14,West,High
CUS300126,63,25.8,0,413167.0,713.0,1,Class1_Office,12,Central,Medium
CUS300127,63,26.8,1,976218.0,865.0,1,Class3_Manual,4,West,High
CUS300128,29,30.5,0,606285.0,435.0,3,Class2_Field,9,Central,Medium
CUS300129,36,34.6,0,1336327.0,336.0,0,Class1_Office,7,North,Low
CUS300130,50,22.6,0,763002.0,898.0,1,Class1_Office,9,West,Low
CUS300131,61,24.8,0,165149.0,375.0,2,Class3_Manual,14,West,Medium
CUS300132,39,29.9,0,218347.0,582.0,0,Class1_Office,13,East,Low
CUS300133,20,27.8,0,1336822.0,513.0,1,Class2_Field,0,South,Low
CUS300134,55,24.8,0,764463.0,890.0,1,Class4_Hazardous,2,North,Medium
CUS300135,20,,0,555056.0,393.0,1,Class2_Field,12,South,Medium
CUS300136,46,29.8,1,1864340.0,330.0,0,Class1_Office,8,South,High
CUS300137,65,23.4,0,144192.0,364.0,0,Class1_Office,15,South,Medium
CUS300138,49,22.4,0,308074.0,512.0,1,Class2_Field,4,West,Medium
CUS300139,30,27.1,0,621614.0,528.0,2,Class1_Office,15,Central,Low
CUS300140,28,27.7,0,453655.0,379.0,1,Class1_Office,12,East,Medium
CUS300141,35,25.0,0,949844.0,602.0,1,Class4_Hazardous,1,North,Low
CUS300142,37,26.2,0,1800251.0,,0,Class2_Field,14,West,Low
CUS300143,65,27.7,0,877894.0,340.0,2,Class3_Manual,8,East,High
CUS300144,64,25.5,0,163617.0,742.0,1,Class2_Field,10,Central,Low
CUS300145,63,26.0,0,1473354.0,505.0,0,Class2_Field,13,South,Low
CUS300146,24,21.4,0,524261.0,311.0,1,Class1_Office,6,Central,Low
CUS300147,41,31.5,0,361597.0,900.0,0,Class3_Manual,1,East,Low
CUS300148,53,21.8,0,180991.0,,4,Class4_Hazardous,9,South,Medium
CUS300149,58,32.3,0,550744.0,827.0,0,Class3_Manual,8,South,Medium
CUS300150,34,31.5,0,202637.0,400.0,0,Class2_Field,10,East,Low
CUS300151,40,24.3,0,336423.0,,1,Class1_Office,14,South,Low
CUS300152,57,32.5,1,227316.0,416.0,1,Class1_Office,3,East,High
CUS300153,25,27.5,1,432736.0,874.0,1,Class2_Field,4,Central,Medium
CUS300154,60,23.2,0,429433.0,706.0,0,Class1_Office,12,North,Low
CUS300155,31,28.3,1,263482.0,708.0,1,Class2_Field,0,South,Medium
CUS300156,23,23.5,0,459736.0,836.0,1,Class4_Hazardous,6,East,Low
CUS300157,51,24.3,0,732677.0,743.0,2,Class1_Office,11,Central,Medium
CUS300158,64,24.3,0,492876.0,353.0,1,Class2_Field,0,West,Medium
CUS300159,39,28.1,0,2305453.0,368.0,0,Class3_Manual,11,East,Low
CUS300160,18,27.2,0,399057.0,472.0,2,Class2_Field,11,East,Low
CUS300161,54,30.8,0,489224.0,531.0,1,Class2_Field,8,North,Medium
CUS300162,73,32.8,0,1063457.0,420.0,0,Class3_Manual,13,West,High
CUS300163,53,28.1,0,308727.0,457.0,0,Class3_Manual,5,Central,Medium
CUS300164,72,31.0,0,788361.0,313.0,0,Class1_Office,1,West,Medium
CUS300165,27,26.7,0,283473.0,377.0,0,Class1_Office,8,Central,Low
CUS300166,24,23.3,0,354928.0,747.0,0,Class1_Office,3,North,Low
CUS300167,44,26.2,0,632903.0,750.0,1,Class2_Field,12,East,Low
CUS300168,71,27.5,0,333891.0,510.0,1,Class1_Office,1,Central,Medium
CUS300169,68,32.8,1,400215.0,525.0,1,Class1_Office,12,East,High
CUS300170,19,22.4,0,160361.0,326.0,1,Class3_Manual,11,Central,Low
CUS300171,34,25.5,0,1433237.0,429.0,1,Class2_Field,7,South,Low
CUS300172,45,26.9,0,811530.0,393.0,0,Class4_Hazardous,6,Central,Medium
CUS300173,72,29.3,0,665567.0,862.0,0,Class3_Manual,4,North,Medium
CUS300174,59,25.0,1,370675.0,399.0,2,Class4_Hazardous,9,East,High
CUS300175,70,23.9,0,173581.0,320.0,2,Class1_Office,2,North,Medium
CUS300176,28,22.1,0,673175.0,638.0,0,Class1_Office,5,East,Low
CUS300177,70,23.4,0,665048.0,507.0,0,Class3_Manual,8,West,Medium
CUS300178,51,35.7,0,168386.0,896.0,1,Class1_Office,7,South,Medium
CUS300179,59,25.3,0,220077.0,677.0,2,Class1_Office,7,South,Medium
CUS300180,61,33.0,0,512649.0,364.0,1,Class2_Field,0,North,High
CUS300181,50,27.3,0,639741.0,542.0,1,Class3_Manual,3,Central,Medium
CUS300182,20,24.0,1,487793.0,377.0,1,Class1_Office,6,Central,Low
CUS300183,26,32.6,0,102967.0,647.0,1,Class2_Field,9,North,Low
CUS300184,41,30.6,0,584871.0,553.0,3,Class1_Office,1,North,Medium
CUS300185,42,25.8,0,488004.0,803.0,3,Class3_Manual,13,West,Medium
CUS300186,62,21.1,1,224046.0,847.0,0,Class2_Field,5,South,Medium
CUS300187,38,27.5,0,535603.0,520.0,0,Class2_Field,12,East,Low
CUS300188,36,31.6,0,359770.0,766.0,1,Class2_Field,13,North,Low
CUS300189,30,,0,147818.0,485.0,1,Class1_Office,8,South,Low
CUS300190,34,27.0,1,541046.0,547.0,2,Class1_Office,9,East,High
CUS300191,63,30.4,1,931558.0,532.0,2,Class2_Field,5,North,High
CUS300192,18,23.5,1,1078573.0,869.0,0,Class1_Office,4,Central,Low
CUS300193,53,29.6,0,867356.0,810.0,1,Class1_Office,5,East,Medium
CUS300194,49,27.7,0,442789.0,651.0,0,Class1_Office,8,South,Medium
CUS300195,58,26.6,0,352071.0,543.0,2,Class2_Field,6,West,Medium
CUS300196,32,,1,256114.0,671.0,1,Class1_Office,8,West,High
CUS300197,61,27.6,0,139020.0,750.0,0,Class2_Field,11,Central,Low
CUS300198,31,19.2,0,566240.0,516.0,1,Class2_Field,11,West,Low
CUS300199,33,29.8,1,576460.0,412.0,1,Class1_Office,6,North,High
CUS300200,46,38.1,1,406999.0,776.0,1,Class1_Office,1,South,High
CUS300201,40,21.5,0,1095453.0,775.0,1,Class1_Office,7,East,Low
CUS300202,58,27.3,0,992683.0,855.0,1,Class3_Manual,15,West,Medium
CUS300203,39,25.8,1,741446.0,760.0,2,Class2_Field,9,South,Low
CUS300204,54,28.7,0,343242.0,749.0,1,Class2_Field,15,South,Low
CUS300205,28,24.2,1,1562680.0,760.0,0,Class1_Office,9,East,Medium
CUS300206,64,,0,1206616.0,533.0,1,Class1_Office,5,North,Low
CUS300207,48,20.5,1,231993.0,611.0,1,Class1_Office,4,South,High
CUS300208,31,31.2,0,619060.0,324.0,2,Class2_Field,11,North,Low
CUS300209,34,24.8,1,756272.0,301.0,0,Class1_Office,14,North,Medium
CUS300210,23,35.6,1,280046.0,362.0,1,Class2_Field,8,North,High
CUS300211,51,31.5,0,849196.0,589.0,1,Class2_Field,4,Central,Medium
CUS300212,61,24.1,1,1088292.0,508.0,0,Class3_Manual,10,North,Low
CUS300213,22,30.8,0,345794.0,662.0,5,Class2_Field,6,Central,Medium
CUS300214,58,31.4,0,442700.0,797.0,0,Class3_Manual,15,North,Medium
CUS300215,66,21.5,0,748710.0,514.0,2,Class3_Manual,15,East,Medium
CUS300216,55,22.4,1,1456762.0,815.0,0,Class4_Hazardous,8,East,High
CUS300217,18,23.8,1,751958.0,379.0,1,Class3_Manual,12,South,Medium
CUS300218,74,16.6,0,385156.0,891.0,2,Class2_Field,1,Central,Medium
CUS300219,64,27.6,0,414438.0,765.0,2,Class2_Field,1,North,Medium
CUS300220,48,31.3,1,659085.0,332.0,2,Class1_Office,13,Central,High
CUS300221,65,27.8,0,564458.0,800.0,1,Class1_Office,2,South,Medium
CUS300222,61,29.6,0,535853.0,636.0,1,Class2_Field,14,West,Medium
CUS300223,56,27.4,0,248841.0,625.0,0,Class1_Office,4,North,Low
CUS300224,34,27.8,1,611788.0,613.0,1,Class1_Office,11,West,Medium
CUS300225,58,16.8,1,731610.0,460.0,1,Class1_Office,3,North,Medium
CUS300226,25,29.7,0,377088.0,,0,Class1_Office,0,North,Low
CUS300227,32,27.0,0,740117.0,321.0,1,Class2_Field,4,North,Low
CUS300228,22,25.9,0,975378.0,533.0,2,Class1_Office,7,East,Low
CUS300229,45,23.2,1,852598.0,605.0,1,Class4_Hazardous,5,West,High
CUS300230,41,22.0,0,1220469.0,836.0,0,Class1_Office,13,South,Low
CUS300231,53,26.1,0,273010.0,504.0,2,Class1_Office,0,East,High
CUS300232,46,27.5,0,745560.0,879.0,0,Class2_Field,10,South,Low
CUS300233,41,22.0,0,1440550.0,762.0,1,Class1_Office,4,North,Low
CUS300234,63,31.4,1,1237544.0,604.0,2,Class3_Manual,1,Central,High
CUS300235,55,22.8,0,144978.0,799.0,1,Class3_Manual,0,East,Low
CUS300236,37,26.3,0,401134.0,847.0,1,Class1_Office,13,East,Low
CUS300237,31,29.6,0,616105.0,301.0,1,Class1_Office,4,South,Medium
CUS300238,45,21.8,0,140613.0,524.0,0,Class2_Field,9,North,Low
CUS300239,69,16.8,0,664737.0,755.0,1,Class2_Field,6,East,Medium
CUS300240,61,24.6,1,194093.0,495.0,2,Class2_Field,1,North,High
CUS300241,58,26.7,0,419079.0,603.0,0,Class1_Office,2,East,Medium
CUS300242,20,30.5,0,365624.0,338.0,0,Class1_Office,6,South,Low
CUS300243,53,25.1,1,375553.0,459.0,1,Class1_Office,6,South,Low
CUS300244,48,27.7,0,442191.0,429.0,0,Class1_Office,3,West,Low
CUS300245,40,32.8,0,154115.0,645.0,1,Class2_Field,4,East,Low
CUS300246,68,22.5,0,711127.0,862.0,0,Class2_Field,6,South,Low
CUS300247,54,28.2,0,613061.0,446.0,0,Class1_Office,6,East,Low
CUS300248,30,31.3,1,688078.0,419.0,1,Class4_Hazardous,15,West,High
CUS300249,56,22.5,0,1049417.0,478.0,1,Class1_Office,15,North,Low
CUS300250,18,23.2,0,977136.0,781.0,1,Class2_Field,5,East,Low
CUS300251,58,27.1,0,535753.0,490.0,2,Class2_Field,4,South,High
CUS300252,46,21.1,0,672457.0,685.0,0,Class3_Manual,6,East,Low
CUS300253,43,20.5,0,1010341.0,651.0,0,Class4_Hazardous,15,West,Low
CUS300254,22,24.2,0,283717.0,637.0,0,Class1_Office,15,North,Low
CUS300255,20,21.8,0,679414.0,888.0,0,Class1_Office,4,West,Low
CUS300256,39,24.0,0,280996.0,804.0,2,Class1_Office,15,West,Medium
CUS300257,69,26.0,1,257086.0,600.0,2,Class3_Manual,9,West,High
CUS300258,50,32.4,0,358702.0,556.0,4,Class2_Field,11,South,High
CUS300259,22,28.4,0,515942.0,385.0,2,Class1_Office,4,East,Medium
CUS300260,32,26.8,0,690291.0,568.0,1,Class1_Office,13,North,Low
CUS300261,62,19.9,1,310648.0,652.0,1,Class2_Field,1,South,High
CUS300262,46,17.8,0,1177888.0,538.0,1,Class1_Office,11,East,Low
CUS300263,55,24.1,0,598886.0,555.0,0,Class2_Field,4,East,Low
CUS300264,30,,1,449092.0,606.0,0,Class1_Office,4,Central,Medium
CUS300265,55,34.1,0,413751.0,513.0,1,Class2_Field,12,East,High
CUS300266,18,27.1,1,408295.0,699.0,2,Class3_Manual,12,Central,High
CUS300267,26,33.0,0,276799.0,618.0,0,Class1_Office,13,East,Low
CUS300268,56,22.0,0,270178.0,374.0,2,Class1_Office,7,Central,Low
CUS300269,44,26.9,0,444965.0,392.0,0,Class2_Field,11,Central,Low
CUS300270,63,19.5,0,458636.0,672.0,1,Class1_Office,7,North,Low
CUS300271,65,23.3,0,799803.0,487.0,1,Class1_Office,4,South,Medium
CUS300272,71,31.4,0,1906253.0,386.0,1,Class1_Office,11,East,Medium
CUS300273,57,23.7,0,666949.0,805.0,1,Class2_Field,10,North,Medium
CUS300274,31,22.3,0,284917.0,825.0,1,Class1_Office,11,East,Low
CUS300275,26,21.4,0,416010.0,409.0,1,Class4_Hazardous,13,East,Medium
CUS300276,28,29.8,1,1699086.0,605.0,0,Class2_Field,14,North,Medium
CUS300277,18,29.1,1,1894125.0,453.0,1,Class1_Office,14,South,Medium
CUS300278,28,26.1,0,575002.0,354.0,0,Class2_Field,11,West,Low
CUS300279,30,26.2,0,1458471.0,703.0,0,Class1_Office,15,Central,Medium
CUS300280,25,19.5,0,1033311.0,505.0,0,Class1_Office,9,Central,Low
CUS300281,69,22.5,0,698303.0,572.0,2,Class1_Office,4,East,Medium
CUS300282,73,29.5,0,634821.0,582.0,2,Class1_Office,11,South,Medium
CUS300283,38,26.7,0,1064629.0,544.0,2,Class1_Office,14,West,Low
CUS300284,43,26.5,0,1003896.0,375.0,0,Class4_Hazardous,12,East,Low
CUS300285,37,28.9,0,261050.0,316.0,2,Class2_Field,8,West,Medium
CUS300286,52,24.1,0,336887.0,766.0,0,Class1_Office,6,West,Low
CUS300287,27,33.0,0,586298.0,301.0,1,Class3_Manual,11,West,Low
CUS300288,46,19.5,0,437432.0,433.0,0,Class4_Hazardous,7,East,Low
CUS300289,57,29.6,1,261203.0,390.0,2,Class2_Field,3,South,High
CUS300290,21,28.8,0,192675.0,586.0,0,Class1_Office,8,Central,Low
CUS300291,23,27.5,0,396128.0,684.0,2,Class1_Office,6,South,Low
CUS300292,65,15.2,0,337701.0,760.0,1,Class2_Field,12,North,Low
CUS300293,56,27.9,1,921486.0,407.0,0,Class2_Field,4,Central,Medium
CUS300294,50,23.3,1,998371.0,505.0,2,Class2_Field,12,East,High
CUS300295,45,32.4,0,488227.0,851.0,0,Class2_Field,7,West,Low
CUS300296,25,21.8,0,794476.0,878.0,0,Class1_Office,7,South,Low
CUS300297,64,29.1,1,411155.0,750.0,1,Class1_Office,7,North,High
CUS300298,74,,0,1722346.0,889.0,0,Class3_Manual,12,West,Medium
CUS300299,32,18.5,0,719609.0,786.0,1,Class1_Office,2,West,Low
CUS300300,73,25.4,1,938609.0,602.0,0,Class4_Hazardous,12,East,High
CUS300301,50,28.8,0,596587.0,613.0,0,Class1_Office,7,West,Low
CUS300302,65,25.0,0,955037.0,528.0,4,Class1_Office,11,North,High
CUS300303,52,26.2,0,1157361.0,462.0,2,Class2_Field,9,West,Medium
CUS300304,73,27.5,1,242309.0,481.0,0,Class3_Manual,3,West,High
CUS300305,40,,0,771732.0,364.0,2,Class1_Office,3,North,Medium
CUS300306,65,21.9,0,600621.0,695.0,1,Class1_Office,4,Central,Low
CUS300307,40,33.3,0,253425.0,530.0,0,Class4_Hazardous,15,South,High
CUS300308,50,23.1,0,502902.0,490.0,2,Class1_Office,10,Central,Low
CUS300309,58,27.8,0,332467.0,762.0,1,Class1_Office,12,West,Low
CUS300310,18,32.3,0,923122.0,675.0,2,Class3_Manual,5,North,Low
CUS300311,46,22.2,1,350799.0,667.0,0,Class1_Office,0,South,Low
CUS300312,54,27.8,0,961978.0,388.0,1,Class4_Hazardous,10,Central,Medium
CUS300313,62,23.1,0,396025.0,579.0,0,Class2_Field,10,South,Low
CUS300314,38,21.0,0,301538.0,389.0,2,Class1_Office,11,East,Low
CUS300315,60,32.1,0,291257.0,544.0,2,Class2_Field,6,South,Medium
CUS300316,23,26.1,0,1312793.0,391.0,0,Class3_Manual,13,South,Low
CUS300317,55,25.1,0,646740.0,370.0,0,Class1_Office,8,East,Low
CUS300318,41,24.3,0,456975.0,608.0,1,Class2_Field,8,North,Low
CUS300319,36,24.2,0,1168000.0,855.0,3,Class3_Manual,7,West,Medium
CUS300320,53,18.4,0,1824355.0,562.0,0,Class1_Office,7,South,Low
CUS300321,55,31.6,0,368903.0,664.0,0,Class1_Office,7,Central,Medium
CUS300322,50,29.1,0,1223994.0,548.0,2,Class3_Manual,6,East,Medium
CUS300323,30,17.2,0,477355.0,696.0,1,Class1_Office,8,West,Low
CUS300324,28,26.5,1,612711.0,446.0,4,Class1_Office,11,West,High
CUS300325,40,,0,382154.0,840.0,1,Class1_Office,3,Central,Low
CUS300326,59,26.8,0,683657.0,821.0,1,Class1_Office,11,North,Low
CUS300327,23,28.9,1,842888.0,386.0,0,Class1_Office,10,South,Low
CUS300328,21,30.3,0,857473.0,676.0,0,Class1_Office,2,West,Low
CUS300329,35,25.6,0,329424.0,401.0,0,Class1_Office,11,South,Low
CUS300330,58,27.1,0,1334618.0,384.0,1,Class3_Manual,15,Central,High
CUS300331,32,,0,1946730.0,344.0,0,Class1_Office,7,North,Low
CUS300332,52,36.4,0,844233.0,809.0,1,Class1_Office,8,North,Medium
CUS300333,36,,0,1076611.0,870.0,0,Class3_Manual,10,East,Low
CUS300334,41,22.9,0,217612.0,332.0,1,Class2_Field,12,North,Low
CUS300335,22,25.9,0,339066.0,388.0,1,Class3_Manual,9,East,Low
CUS300336,23,22.3,0,1384839.0,872.0,2,Class1_Office,3,North,Low
CUS300337,23,31.9,1,1159295.0,668.0,0,Class2_Field,15,South,Low
CUS300338,28,28.0,0,636439.0,685.0,1,Class1_Office,9,Central,Low
CUS300339,45,25.8,0,436060.0,877.0,1,Class2_Field,8,Central,Low
CUS300340,24,29.8,1,584485.0,463.0,0,Class1_Office,4,East,Medium
CUS300341,42,23.0,0,756506.0,683.0,1,Class1_Office,12,West,Medium
CUS300342,55,24.1,1,1053183.0,469.0,0,Class1_Office,15,Central,Medium
CUS300343,38,22.5,0,491823.0,637.0,0,Class1_Office,13,West,Low
CUS300344,54,31.2,0,218672.0,846.0,2,Class1_Office,14,Central,High
CUS300345,50,22.7,0,661379.0,666.0,1,Class1_Office,9,Central,Low
CUS300346,33,21.8,0,238338.0,413.0,1,Class1_Office,7,Central,Low
CUS300347,32,30.1,0,1457591.0,643.0,0,Class1_Office,9,South,Medium
CUS300348,50,15.4,0,846017.0,312.0,0,Class1_Office,0,South,Low
