customer_id,age,annual_income,total_premium,num_policies,tenure_years,region,digital_engagement,claims_ratio,occupation,segment
SEG800072,39,256985.0,8119.0,3,5.6,Central,0.38,0.289,Tailor,Budget
SEG800073,21,797077.0,40010.0,2,6.8,Central,0.51,0.042,Engineer,Affluent
SEG800074,78,430100.0,25423.0,4,10.0,Central,0.62,0.368,Accountant,Mainstream
SEG800075,22,862641.0,31841.0,1,2.9,South,0.02,0.163,Engineer,Affluent
SEG800076,43,400877.0,9541.0,5,0.1,West,0.85,0.129,Teacher,Mainstream
SEG800077,28,159687.0,5305.0,5,1.7,South,0.03,0.184,Plumber,Budget
SEG800078,21,979129.0,43790.0,2,23.5,East,0.12,0.298,Police Officer,Affluent
SEG800079,37,177655.0,3995.0,3,0.9,East,0.81,0.112,Teacher,Budget
SEG800080,43,772024.0,28579.0,1,1.2,South,0.18,0.162,Banker,Affluent
SEG800081,64,406723.0,13340.0,4,2.9,East,0.79,0.041,Shop Owner,Mainstream
SEG800082,38,2174795.0,120542.0,6,0.3,West,0.45,0.08,Accountant,HighNetWorth
SEG800083,50,308218.0,16597.0,2,5.6,North,0.72,0.294,Driver,Mainstream
SEG800084,72,244595.0,4707.0,6,5.7,Central,0.71,0.305,Mechanic,Budget
SEG800085,52,388742.0,5353.0,4,20.4,North,,0.076,Salesperson,Mainstream
SEG800086,29,560026.0,30274.0,1,0.3,Central,0.1,0.241,Carpenter,Mainstream
SEG800087,35,448362.0,17827.0,1,4.2,West,0.56,0.159,Police Officer,Mainstream
SEG800088,69,131629.0,4473.0,3,5.7,South,0.99,0.181,Electrician,Budget
SEG800089,69,1382859.0,46715.0,3,12.3,East,0.01,0.078,Teacher,HighNetWorth
SEG800090,30,764468.0,29811.0,4,3.8,North,0.98,0.226,Carpenter,Affluent
SEG800091,78,514719.0,19319.0,5,4.6,South,0.37,0.439,Shop Owner,Mainstream
SEG800092,77,386394.0,3936.0,2,2.1,Central,,0.093,Chef,Budget
SEG800093,77,642305.0,27222.0,3,0.8,Central,0.95,0.262,Mechanic,Affluent
SEG800094,38,235790.0,14118.0,5,0.3,West,0.64,0.119,Driver,Mainstream
SEG800095,61,384764.0,3896.0,3,6.3,West,0.4,0.071,Teacher,Budget
SEG800096,78,975683.0,41893.0,1,4.1,Central,0.26,0.136,Civil Servant,Affluent
SEG800097,73,579700.0,21066.0,3,12.0,South,0.67,0.454,Doctor,Mainstream
SEG800098,46,220447.0,9271.0,6,5.0,West,0.22,0.078,Engineer,Budget
SEG800099,60,870538.0,9190.0,6,7.1,East,0.3,0.169,Architect,Affluent
SEG800100,55,260075.0,2896.0,3,0.4,Central,0.14,0.073,Carpenter,Budget
SEG800101,22,504978.0,25811.0,1,17.4,North,0.31,0.36,Electrician,Mainstream
SEG800102,35,490629.0,22625.0,1,28.0,Central,0.96,0.417,Pharmacist,Mainstream
SEG800103,46,550696.0,20387.0,2,6.3,West,0.55,0.178,Carpenter,Mainstream
SEG800104,31,871807.0,18431.0,5,6.9,North,0.13,0.185,Lawyer,Affluent
SEG800105,39,145944.0,5244.0,4,0.9,North,0.96,0.133,Security Guard,Budget
SEG800106,34,250757.0,4440.0,6,1.0,West,0.84,0.189,Welder,Budget
SEG800107,51,212868.0,10148.0,4,1.8,North,0.57,0.056,Electrician,Budget
SEG800108,32,206425.0,10811.0,5,4.3,Central,0.16,0.274,Farmer,Budget
SEG800109,42,114551.0,6496.0,3,17.9,South,0.91,0.201,Mechanic,Budget
SEG800110,53,552613.0,5985.0,4,6.6,South,0.65,0.11,Banker,Mainstream
SEG800111,63,,3409.0,4,18.9,South,0.03,0.28,Electrician,Budget
SEG800112,39,244473.0,4798.0,4,5.5,West,0.03,0.185,Plumber,Budget
SEG800113,22,781446.0,29125.0,6,5.5,Central,0.15,0.12,Doctor,Affluent
SEG800114,69,1569020.0,43805.0,1,5.3,South,0.22,0.129,Carpenter,HighNetWorth
SEG800115,26,1676274.0,75753.0,6,4.9,South,0.51,0.099,Electrician,HighNetWorth
SEG800116,74,868345.0,39359.0,1,11.6,South,0.86,0.208,Security Guard,Affluent
SEG800117,37,162953.0,9238.0,2,1.0,South,0.12,0.235,Salesperson,Budget
SEG800118,27,506033.0,26913.0,6,6.1,East,0.91,0.109,Mechanic,Mainstream
SEG800119,66,513426.0,15316.0,5,9.1,Central,0.8,0.253,Driver,Mainstream
SEG800120,48,95149.0,3117.0,5,2.0,South,0.21,0.203,Accountant,Budget
SEG800121,46,146196.0,5034.0,6,3.6,Central,0.91,0.365,Mechanic,Budget
SEG800122,48,2304836.0,79678.0,5,11.1,East,1.0,0.059,Accountant,HighNetWorth
SEG800123,53,121285.0,6027.0,3,3.1,South,0.38,0.243,Teacher,Budget
SEG800124,42,457939.0,18248.0,5,18.1,South,0.02,0.31,Shop Owner,Mainstream
SEG800125,76,2474418.0,33701.0,1,0.9,South,0.47,0.041,Architect,HighNetWorth
SEG800126,44,311788.0,7911.0,4,0.8,South,0.93,0.109,Driver,Budget
SEG800127,41,1439890.0,56983.0,4,0.9,West,0.35,0.182,Lawyer,HighNetWorth
SEG800128,27,386209.0,7167.0,2,0.7,West,0.99,0.032,Police Officer,Budget
SEG800129,76,190079.0,2750.0,2,0.4,South,0.62,0.068,Civil Servant,Budget
SEG800130,48,498743.0,19966.0,6,5.2,East,0.18,0.075,Police Officer,Mainstream
SEG800131,56,202924.0,10577.0,2,10.6,West,0.97,0.106,Software Developer,Budget
SEG800132,47,395637.0,8944.0,2,0.1,West,0.81,0.095,Engineer,Mainstream
SEG800133,64,350318.0,11193.0,2,1.1,North,0.79,0.14,Welder,Mainstream
SEG800134,63,946928.0,56658.0,5,2.2,South,0.02,0.2,Civil Servant,HighNetWorth
SEG800135,59,,22607.0,2,11.4,Central,0.14,0.126,Banker,Mainstream
SEG800136,78,805348.0,36837.0,2,3.4,West,0.78,0.36,Pharmacist,Affluent
SEG800137,26,473626.0,22870.0,2,9.7,North,0.41,0.188,Salesperson,Mainstream
SEG800138,68,635560.0,7326.0,4,20.9,North,0.34,0.237,Pharmacist,Mainstream
SEG800139,28,402524.0,20757.0,5,0.6,Central,0.67,0.248,Civil Servant,Mainstream
SEG800140,51,273862.0,12074.0,6,1.3,South,0.19,0.173,Chef,Mainstream
SEG800141,50,584828.0,29341.0,4,4.1,East,0.57,0.175,Nurse,Affluent
SEG800142,38,433684.0,4658.0,5,15.3,East,0.07,0.147,Salesperson,Mainstream
SEG800143,58,436939.0,13454.0,4,0.1,North,0.17,0.201,Accountant,Mainstream
SEG800144,69,701544.0,25061.0,3,0.1,South,0.54,0.33,Accountant,Affluent
SEG800145,42,246016.0,8583.0,2,9.6,East,0.02,0.174,Mechanic,Budget
SEG800146,59,193211.0,10942.0,5,0.4,Central,0.41,0.263,Police Officer,Budget
SEG800147,67,,7077.0,2,11.8,West,0.88,0.123,Accountant,Budget
SEG800148,23,288112.0,14247.0,3,2.7,South,0.66,0.198,Software Developer,Mainstream
SEG800149,22,234987.0,8718.0,5,1.3,West,0.98,0.048,Salesperson,Budget
SEG800150,45,340128.0,18240.0,4,0.6,South,0.27,0.108,Shop Owner,Mainstream
SEG800151,30,150245.0,3456.0,1,2.1,South,0.26,0.177,Welder,Budget
SEG800152,22,465492.0,22281.0,6,10.2,West,0.04,0.102,Lawyer,Mainstream
SEG800153,51,379258.0,19615.0,5,4.2,East,0.6,0.205,Architect,Mainstream
SEG800154,40,,11069.0,5,2.3,North,0.16,0.218,Plumber,Mainstream
SEG800155,22,1639281.0,40169.0,5,3.2,North,0.65,0.153,Chef,HighNetWorth
SEG800156,22,1139723.0,52141.0,4,4.1,Central,0.17,0.518,Shop Owner,HighNetWorth
SEG800157,26,163071.0,8329.0,5,10.1,Central,0.58,0.048,Tailor,Budget
SEG800158,28,124595.0,7418.0,6,23.4,North,0.9,0.307,Salesperson,Budget
SEG800159,51,275467.0,9154.0,1,1.4,West,0.34,0.052,Welder,Budget
SEG800160,23,402544.0,22548.0,1,3.0,East,0.84,0.258,Software Developer,Mainstream
SEG800161,74,552194.0,25928.0,1,5.1,West,0.53,0.113,Farmer,Mainstream
SEG800162,36,421136.0,4662.0,6,0.9,Central,0.13,0.123,Carpenter,Mainstream
SEG800163,29,344058.0,13844.0,4,9.4,North,0.96,0.444,Carpenter,Mainstream
SEG800164,69,323109.0,9136.0,5,0.3,North,0.94,0.273,Driver,Mainstream
SEG800165,23,590740.0,32627.0,5,26.6,North,0.18,0.079,Software Developer,Affluent
SEG800166,61,295457.0,6310.0,1,4.6,East,0.11,0.254,Shop Owner,Budget
SEG800167,43,221197.0,9277.0,3,6.7,East,0.9,0.205,Welder,Budget
SEG800168,72,404696.0,17297.0,2,4.1,West,0.83,0.303,Shop Owner,Mainstream
SEG800169,60,928654.0,18136.0,1,4.8,North,0.65,0.455,Carpenter,Affluent
SEG800170,57,501571.0,19850.0,5,22.7,West,0.79,0.27,Civil Servant,Mainstream
SEG800171,68,640656.0,37348.0,3,8.9,North,0.61,0.013,Farmer,Affluent
SEG800172,37,385082.0,20507.0,5,0.6,North,0.26,0.175,Welder,Mainstream
SEG800173,38,340793.0,6727.0,1,1.4,West,0.01,0.211,Driver,Budget
SEG800174,67,374675.0,5063.0,5,7.2,North,0.62,0.3,Mechanic,Budget
SEG800175,22,1977357.0,80300.0,1,0.6,North,0.49,0.104,Engineer,HighNetWorth
SEG800176,43,726348.0,14778.0,1,27.0,East,0.63,0.054,Salesperson,Mainstream
SEG800177,77,2156703.0,105804.0,4,5.5,South,0.26,0.281,Engineer,HighNetWorth
SEG800178,50,1191408.0,62211.0,2,9.9,North,0.93,0.155,Welder,HighNetWorth
SEG800179,55,1320971.0,17829.0,2,1.9,South,0.36,0.119,Farmer,Affluent
SEG800180,25,846688.0,25660.0,4,15.9,South,0.08,0.25,Accountant,Affluent
SEG800181,58,477103.0,11566.0,5,2.3,South,0.99,0.27,Doctor,Mainstream
SEG800182,50,554382.0,6863.0,1,3.3,Central,0.23,0.079,Lawyer,Mainstream
SEG800183,53,750136.0,29216.0,1,4.8,North,0.98,0.075,Police Officer,Affluent
SEG800184,71,182307.0,9645.0,2,5.1,West,0.37,0.186,Tailor,Budget
SEG800185,59,322147.0,12344.0,2,6.9,East,0.36,0.104,Welder,Mainstream
SEG800186,58,118108.0,5926.0,6,1.0,Central,0.95,0.109,Salesperson,Budget
SEG800187,38,328793.0,15000.0,5,2.0,West,0.68,0.244,Security Guard,Mainstream
SEG800188,45,724256.0,42887.0,6,3.5,West,0.38,0.56,Civil Servant,Affluent
SEG800189,70,721441.0,41409.0,5,5.1,North,0.77,0.137,Tailor,Affluent
SEG800190,66,260683.0,6738.0,3,2.6,East,0.47,0.19,Pharmacist,Budget
SEG800191,43,214602.0,4920.0,6,29.9,North,,0.225,Pharmacist,Budget
SEG800192,25,394287.0,14930.0,3,6.4,West,0.96,0.2,Shop Owner,Mainstream
SEG800193,31,568635.0,19127.0,2,10.6,Central,0.94,0.17,Electrician,Mainstream
SEG800194,66,1187634.0,48303.0,3,9.0,Central,0.67,0.132,Police Officer,HighNetWorth
SEG800195,54,676397.0,25539.0,6,1.1,West,0.52,0.069,Banker,Affluent
SEG800196,72,227159.0,5751.0,5,2.1,North,0.62,0.089,Doctor,Budget
SEG800197,60,148936.0,4876.0,3,2.5,East,0.5,0.294,Nurse,Budget
SEG800198,45,602559.0,6193.0,4,2.8,North,0.79,0.073,Chef,Mainstream
SEG800199,42,622406.0,18678.0,2,0.5,South,0.59,0.236,Driver,Mainstream
SEG800200,50,651066.0,22055.0,2,9.3,South,0.02,0.204,Electrician,Mainstream
SEG800201,37,365444.0,11904.0,1,10.7,East,0.37,0.274,Nurse,Mainstream
SEG800202,68,704047.0,14002.0,5,0.7,Central,0.18,0.239,Pharmacist,Mainstream
SEG800203,24,320541.0,8267.0,2,8.1,East,0.48,0.159,Teacher,Budget
SEG800204,43,288699.0,12517.0,5,8.8,South,0.03,0.209,Nurse,Mainstream
SEG800205,63,763188.0,36771.0,2,1.1,South,0.94,0.133,Electrician,Affluent
SEG800206,60,678336.0,18952.0,2,0.1,Central,0.16,0.451,Architect,Mainstream
SEG800207,30,242537.0,14194.0,3,4.4,East,0.24,0.287,Software Developer,Budget
SEG800208,64,713664.0,33270.0,4,17.0,North,0.86,0.266,Mechanic,Affluent
SEG800209,29,153293.0,3042.0,5,8.1,Central,0.62,0.213,Security Guard,Budget
SEG800210,55,410024.0,6381.0,4,15.4,Central,0.81,0.107,Pharmacist,Mainstream
SEG800211,24,2310744.0,133983.0,3,7.1,North,0.23,0.297,Accountant,HighNetWorth
SEG800212,47,,3767.0,4,2.5,East,0.53,0.177,Carpenter,Budget
SEG800213,22,160427.0,2627.0,4,0.2,Central,0.3,0.432,Shop Owner,Budget
SEG800214,23,150134.0,5135.0,4,7.5,Central,0.0,0.182,Accountant,Budget
SEG800215,46,1011087.0,36547.0,4,0.2,North,0.86,0.1,Farmer,Affluent
SEG800216,64,,18912.0,6,1.7,South,0.45,0.115,Welder,Affluent
SEG800217,38,193703.0,3472.0,1,2.6,East,0.52,0.141,Shop Owner,Budget
SEG800218,74,278585.0,4023.0,2,16.9,East,0.41,0.208,Teacher,Budget
SEG800219,68,291881.0,3507.0,2,0.1,Central,0.87,0.446,Banker,Budget
SEG800220,32,2050840.0,108437.0,4,6.4,South,0.86,0.203,Farmer,HighNetWorth
SEG800221,58,739370.0,21270.0,4,0.4,North,0.2,0.155,Carpenter,Affluent
SEG800222,79,180045.0,8627.0,4,6.2,Central,0.48,0.055,Accountant,Budget
SEG800223,64,365395.0,12964.0,2,9.1,South,0.62,0.319,Salesperson,Mainstream
SEG800224,58,998895.0,57974.0,5,1.4,Central,0.94,0.01,Nurse,HighNetWorth
SEG800225,31,708739.0,40721.0,3,7.6,Central,0.45,0.046,Civil Servant,Affluent
SEG800226,42,,6592.0,4,1.1,South,0.35,0.34,Welder,Budget
SEG800227,27,456711.0,20949.0,6,9.4,North,0.53,0.046,Pharmacist,Mainstream
SEG800228,67,,23661.0,6,3.9,West,0.81,0.406,Nurse,Mainstream
SEG800229,46,577444.0,12117.0,2,5.1,South,0.37,0.033,Nurse,Mainstream
SEG800230,56,1374384.0,38286.0,3,11.2,West,0.03,0.131,Chef,HighNetWorth
SEG800231,52,523088.0,20784.0,3,7.1,West,0.35,0.234,Nurse,Mainstream
SEG800232,22,237946.0,12699.0,1,0.1,Central,0.18,0.058,Teacher,Budget
SEG800233,35,462444.0,26202.0,4,2.4,West,0.1,0.185,Teacher,Mainstream
SEG800234,26,455539.0,21437.0,1,2.0,West,0.67,0.205,Tailor,Mainstream
SEG800235,66,363304.0,8829.0,3,4.3,East,0.37,0.233,Carpenter,Budget
SEG800236,38,,5331.0,4,7.4,West,0.1,0.253,Mechanic,Budget
SEG800237,35,763547.0,16087.0,1,6.0,South,0.79,0.117,Farmer,Affluent
SEG800238,75,611985.0,7609.0,3,1.2,North,0.79,0.032,Pharmacist,Mainstream
SEG800239,53,198759.0,3856.0,6,0.4,West,0.16,0.203,Police Officer,Budget
SEG800240,40,434373.0,19593.0,6,9.4,North,0.93,0.211,Carpenter,Mainstream
SEG800241,57,931252.0,50008.0,6,2.8,Central,0.32,0.582,Software Developer,HighNetWorth
SEG800242,64,1036113.0,29331.0,5,3.4,West,0.41,0.274,Shop Owner,Affluent
SEG800243,55,449675.0,14778.0,3,7.8,East,0.92,0.274,Welder,Mainstream
SEG800244,47,145027.0,2817.0,5,5.5,South,0.17,0.219,Driver,Budget
SEG800245,70,469058.0,27247.0,2,0.9,South,0.94,0.538,Carpenter,Mainstream
SEG800246,23,748956.0,24244.0,1,0.2,East,0.64,0.341,Software Developer,Affluent
SEG800247,55,399586.0,12780.0,3,3.6,Central,0.22,0.295,Lawyer,Mainstream
SEG800248,69,851582.0,47797.0,2,0.9,West,0.58,0.052,Tailor,Affluent
SEG800249,72,296806.0,17312.0,1,5.5,East,0.8,0.27,Nurse,Mainstream
SEG800250,79,492696.0,25532.0,4,0.1,West,0.06,0.195,Chef,Mainstream
SEG800251,53,802701.0,32980.0,6,2.7,North,0.61,0.033,Plumber,Affluent
SEG800252,27,,29754.0,2,1.4,South,,0.206,Accountant,Affluent
SEG800253,35,758290.0,15029.0,6,9.5,West,0.86,0.096,Security Guard,Affluent
SEG800254,31,106215.0,5651.0,3,1.2,Central,,0.072,Accountant,Budget
SEG800255,70,163387.0,3772.0,2,4.0,North,0.63,0.118,Nurse,Budget
SEG800256,22,717445.0,32217.0,6,8.6,West,0.92,0.352,Lawyer,Affluent
SEG800257,26,516872.0,18270.0,5,1.9,North,0.2,0.198,Electrician,Mainstream
SEG800258,75,129725.0,2728.0,2,3.1,North,0.42,0.15,Shop Owner,Budget
SEG800259,75,628271.0,9438.0,1,3.5,Central,0.62,0.564,Farmer,Mainstream
SEG800260,77,391489.0,12700.0,2,2.0,South,0.18,0.115,Engineer,Mainstream
SEG800261,30,260948.0,3754.0,2,9.3,East,0.9,0.058,Shop Owner,Budget
SEG800262,61,458207.0,9876.0,2,6.3,West,0.85,0.252,Pharmacist,Mainstream
SEG800263,63,442026.0,12989.0,6,4.0,West,0.47,0.291,Security Guard,Mainstream
SEG800264,62,208947.0,6784.0,1,1.4,South,0.97,0.536,Plumber,Budget
SEG800265,40,214899.0,3038.0,2,10.1,West,0.9,0.184,Accountant,Budget
SEG800266,60,527643.0,31195.0,6,11.4,East,0.47,0.065,Accountant,Affluent
SEG800267,54,124754.0,2360.0,1,5.2,East,0.07,0.58,Shop Owner,Budget
SEG800268,63,658144.0,33508.0,4,2.1,South,0.63,0.222,Plumber,Affluent
SEG800269,66,89899.0,2848.0,2,10.0,West,0.85,0.013,Software Developer,Budget
SEG800270,58,360248.0,10017.0,1,11.1,West,0.86,0.077,Mechanic,Mainstream
SEG800271,67,385803.0,17301.0,1,9.1,South,0.84,0.079,Plumber,Mainstream
SEG800272,47,242415.0,7461.0,5,12.4,South,0.73,0.113,Police Officer,Budget
SEG800273,28,452336.0,6343.0,5,2.2,East,0.14,0.25,Civil Servant,Mainstream
SEG800274,30,289414.0,5364.0,1,3.6,North,0.15,0.194,Teacher,Budget
SEG800275,54,230894.0,3012.0,6,2.3,South,0.73,0.118,Engineer,Budget
SEG800276,64,362589.0,5933.0,3,2.8,East,0.74,0.221,Lawyer,Budget
SEG800277,25,1093728.0,24486.0,5,0.7,East,0.93,0.138,Doctor,Affluent
SEG800278,60,396658.0,8401.0,4,3.2,East,0.61,0.093,Shop Owner,Mainstream
SEG800279,43,293410.0,3950.0,2,6.2,East,0.05,0.098,Plumber,Budget
SEG800280,74,472556.0,18292.0,2,2.6,East,0.14,0.195,Carpenter,Mainstream
SEG800281,61,412970.0,13661.0,5,15.3,North,,0.103,Welder,Mainstream
SEG800282,70,348529.0,18256.0,3,0.2,North,0.67,0.096,Chef,Mainstream
SEG800283,48,1001917.0,19507.0,1,6.0,North,0.95,0.276,Shop Owner,Affluent
SEG800284,58,2398767.0,51566.0,2,4.4,East,0.51,0.343,Engineer,HighNetWorth
SEG800285,55,1177540.0,22695.0,1,2.2,North,0.49,0.099,Shop Owner,Affluent
SEG800286,54,1643834.0,41114.0,6,9.0,South,,0.23,Electrician,HighNetWorth
SEG800287,43,202142.0,2034.0,2,5.1,South,0.4,0.152,Teacher,Budget
SEG800288,77,249119.0,7256.0,2,12.0,West,0.44,0.292,Engineer,Budget
SEG800289,69,1272603.0,65011.0,6,3.2,Central,0.72,0.153,Civil Servant,HighNetWorth
SEG800290,48,330260.0,7011.0,2,2.2,West,0.61,0.281,Pharmacist,Budget
SEG800291,71,685595.0,22942.0,2,2.5,Central,0.48,0.11,Engineer,Affluent
SEG800292,61,348097.0,6532.0,1,5.2,North,0.74,0.427,Welder,Budget
SEG800293,23,672214.0,8773.0,4,15.2,South,0.18,0.166,Welder,Mainstream
SEG800294,57,469566.0,8965.0,2,7.4,West,0.06,0.201,Accountant,Mainstream
SEG800295,56,189543.0,5418.0,4,4.2,East,0.65,0.085,Salesperson,Budget
SEG800296,37,431854.0,22932.0,3,27.9,East,0.86,0.204,Carpenter,Mainstream
SEG800297,41,167020.0,8844.0,4,5.7,North,0.67,0.608,Carpenter,Budget
SEG800298,70,867978.0,50137.0,3,9.9,North,0.0,0.14,Civil Servant,HighNetWorth
SEG800299,65,593146.0,7971.0,1,5.4,Central,0.23,0.088,Software Developer,Mainstream
SEG800300,78,402144.0,17193.0,6,11.7,West,0.76,0.218,Pharmacist,Mainstream
SEG800301,65,470022.0,23202.0,4,2.4,South,0.22,0.065,Tailor,Mainstream
SEG800302,74,474930.0,13087.0,6,0.5,South,0.17,0.179,Software Developer,Mainstream
SEG800303,32,508269.0,29633.0,5,1.4,North,0.85,0.198,Electrician,Affluent
SEG800304,69,117302.0,2925.0,1,1.4,Central,0.8,0.295,Engineer,Budget
SEG800305,42,342851.0,20184.0,2,3.3,East,0.04,0.047,Driver,Mainstream
SEG800306,55,196916.0,7917.0,5,1.5,East,0.06,0.015,Chef,Budget
SEG800307,73,284743.0,14529.0,5,3.9,East,0.57,0.512,Electrician,Mainstream
SEG800308,57,713794.0,31076.0,2,9.3,West,0.95,0.25,Civil Servant,Affluent
SEG800309,21,,70756.0,5,0.7,North,0.99,0.363,Tailor,HighNetWorth
