claim_id,claim_amount,incident_type,region,policy_age_months,claimant_age,injuries,vehicle_damage_score,num_parties,severity
SEV900053,14613.0,Liability,West,178,21,0,7.0,1,Moderate
SEV900054,10609.0,Liability,East,48,43,1,5.0,3,Moderate
SEV900055,29971.0,Accident,Central,59,56,0,9.4,4,Moderate
SEV900056,9252.0,Theft,South,238,62,3,2.4,3,Severe
SEV900057,7650.0,Fire,West,196,78,0,6.9,1,Minor
SEV900058,61196.0,Accident,East,72,78,1,1.9,1,Minor
SEV900059,12620.0,Accident,West,158,73,0,8.3,4,Minor
SEV900060,4744.0,Fire,North,29,24,0,2.2,4,Minor
SEV900061,22191.0,Fire,East,116,65,0,6.7,1,Minor
SEV900062,24495.0,Accident,East,223,76,0,9.9,4,Severe
SEV900063,38324.0,Accident,North,167,74,0,3.2,1,Moderate
SEV900064,47407.0,Fire,South,220,75,0,7.1,4,Severe
SEV900065,32465.0,Fire,South,161,36,0,,2,Moderate
SEV900066,48163.0,Accident,Central,177,32,0,6.3,4,Moderate
SEV900067,113024.0,Weather,East,227,75,0,4.6,1,Minor
SEV900068,70275.0,Accident,North,133,45,0,7.0,1,Severe
SEV900069,51707.0,Accident,North,42,58,1,3.6,2,Moderate
SEV900070,94877.0,Accident,West,13,39,0,,4,Moderate
SEV900071,197582.0,Liability,South,55,70,0,2.1,1,Minor
SEV900072,25718.0,Theft,North,141,37,0,3.1,4,Moderate
SEV900073,46069.0,Accident,West,93,20,1,7.0,4,Severe
SEV900074,30542.0,Liability,East,209,68,0,6.0,4,Minor
SEV900075,17881.0,Fire,South,158,79,1,9.4,2,Severe
SEV900076,21058.0,Liability,West,151,29,0,1.7,2,Minor
SEV900077,25458.0,Accident,West,80,25,0,,2,Minor
SEV900078,12810.0,Weather,North,168,36,1,4.2,2,Minor
SEV900079,68842.0,Fire,West,217,19,1,8.1,4,Severe
SEV900080,17528.0,Accident,South,149,69,0,1.2,2,Minor
SEV900081,21963.0,Accident,South,90,49,0,5.8,4,Moderate
SEV900082,68777.0,Liability,East,192,44,1,6.6,1,Severe
SEV900083,60417.0,Theft,Central,148,24,1,3.7,1,Minor
SEV900084,45909.0,Weather,North,37,25,0,7.6,4,Severe
SEV900085,13775.0,Weather,North,21,56,1,,3,Moderate
SEV900086,67301.0,Theft,North,31,51,0,3.7,2,Moderate
SEV900087,12350.0,Liability,Central,97,63,0,0.8,3,Minor
SEV900088,58039.0,Accident,South,51,64,2,6.1,4,Severe
SEV900089,13517.0,Accident,North,135,76,0,3.3,3,Minor
SEV900090,19714.0,Liability,Central,168,59,0,2.1,1,Minor
SEV900091,27283.0,Liability,North,12,21,0,2.9,3,Minor
SEV900092,26738.0,Accident,Central,57,36,0,7.8,2,Minor
SEV900093,25849.0,Accident,West,61,57,0,,4,Minor
SEV900094,43892.0,Weather,South,109,31,1,1.4,4,Minor
SEV900095,48606.0,Accident,West,178,37,0,4.1,4,Moderate
SEV900096,4066.0,Accident,East,210,67,0,4.2,2,Minor
SEV900097,43503.0,Fire,East,49,28,0,1.6,3,Minor
SEV900098,11240.0,Theft,East,132,24,1,9.6,2,Severe
SEV900099,20230.0,Weather,North,36,53,0,7.0,3,Moderate
SEV900100,14948.0,Fire,West,117,54,0,9.9,1,Moderate
SEV900101,13625.0,Accident,North,100,24,0,3.5,4,Minor
SEV900102,13855.0,Accident,South,144,24,0,3.3,1,Minor
SEV900103,57563.0,Theft,West,24,50,0,6.7,2,Moderate
SEV900104,58393.0,Theft,Central,101,48,0,4.5,1,Minor
SEV900105,48444.0,Weather,Central,227,23,0,7.0,4,Moderate
SEV900106,61391.0,Fire,West,8,34,0,1.6,1,Minor
SEV900107,90772.0,Accident,East,217,33,1,3.6,3,Moderate
SEV900108,15321.0,Theft,Central,108,41,0,0.2,3,Minor
SEV900109,27858.0,Theft,West,81,64,0,4.9,2,Minor
SEV900110,10081.0,Weather,West,39,26,3,4.9,2,Severe
SEV900111,74774.0,Theft,Central,59,69,0,8.7,2,Moderate
SEV900112,40544.0,Accident,South,60,63,0,0.9,2,Minor
SEV900113,52659.0,Accident,West,15,43,0,2.9,3,Minor
SEV900114,12663.0,Accident,Central,167,74,1,1.7,1,Moderate
SEV900115,4765.0,Fire,North,36,42,0,6.7,4,Moderate
SEV900116,54590.0,Accident,West,71,49,0,6.3,2,Minor
SEV900117,7394.0,Accident,East,32,25,0,6.1,3,Minor
SEV900118,20088.0,Accident,Central,97,74,0,4.7,1,Minor
SEV900119,25078.0,Theft,North,69,44,0,3.8,3,Minor
SEV900120,35502.0,Fire,Central,80,59,0,8.3,3,Moderate
SEV900121,50361.0,Weather,East,29,24,0,6.1,4,Severe
SEV900122,20047.0,Accident,North,177,29,0,0.7,3,Minor
SEV900123,2939.0,Accident,East,15,66,1,3.7,3,Minor
SEV900124,1853.0,Weather,West,32,45,1,2.3,4,Minor
SEV900125,41026.0,Accident,West,147,72,0,2.7,4,Minor
SEV900126,19622.0,Accident,South,129,64,0,4.7,3,Minor
SEV900127,14374.0,Fire,North,36,52,0,2.9,4,Minor
SEV900128,28657.0,Liability,South,201,21,1,7.4,3,Moderate
SEV900129,46497.0,Accident,East,108,18,0,5.3,1,Minor
SEV900130,38773.0,Fire,West,23,28,0,7.3,1,Moderate
SEV900131,8666.0,Weather,Central,29,47,0,0.2,1,Minor
SEV900132,15735.0,Accident,East,86,64,1,2.4,4,Moderate
SEV900133,30207.0,Accident,East,87,45,0,7.9,3,Minor
SEV900134,4109.0,Weather,West,185,41,0,4.8,1,Minor
SEV900135,4860.0,Theft,West,69,47,1,4.3,2,Minor
SEV900136,65945.0,Weather,West,4,19,1,5.8,1,Moderate
SEV900137,23944.0,Liability,South,97,72,0,0.1,3,Minor
SEV900138,,Accident,South,36,29,0,4.6,4,Minor
SEV900139,19775.0,Weather,East,223,67,1,8.7,1,Moderate
SEV900140,22076.0,Accident,East,26,47,0,4.7,1,Minor
SEV900141,20556.0,Accident,Central,196,24,0,1.4,4,Minor
SEV900142,7120.0,Theft,South,21,53,0,2.9,4,Minor
SEV900143,16431.0,Theft,East,64,42,0,5.3,1,Moderate
SEV900144,89226.0,Theft,East,20,46,0,7.4,4,Moderate
SEV900145,31618.0,Accident,East,30,42,0,5.3,2,Moderate
SEV900146,33582.0,Accident,South,69,53,0,3.5,4,Minor
SEV900147,40477.0,Liability,West,104,67,0,5.1,1,Minor
SEV900148,79349.0,Accident,Central,190,61,1,7.9,1,Severe
SEV900149,17867.0,Accident,East,51,79,0,5.8,4,Minor
SEV900150,11432.0,Weather,West,77,35,0,6.1,4,Minor
SEV900151,25653.0,Theft,Central,197,50,0,4.9,3,Moderate
SEV900152,11703.0,Weather,South,224,72,0,3.2,4,Minor
SEV900153,95163.0,Theft,North,180,65,1,2.9,1,Minor
SEV900154,126018.0,Weather,South,172,73,0,9.8,1,Severe
SEV900155,41280.0,Accident,South,31,24,0,4.2,4,Minor
SEV900156,106094.0,Weather,South,234,79,0,5.8,1,Minor
SEV900157,,Theft,West,47,67,0,9.7,2,Moderate
SEV900158,37588.0,Liability,West,9,49,0,1.8,1,Minor
SEV900159,33531.0,Accident,Central,15,68,0,8.3,2,Moderate
SEV900160,21698.0,Accident,East,70,42,1,5.6,1,Minor
SEV900161,21443.0,Weather,North,236,58,1,,3,Moderate
SEV900162,34601.0,Weather,South,154,44,0,8.7,3,Moderate
SEV900163,40410.0,Weather,South,181,44,0,7.0,3,Severe
SEV900164,50855.0,Accident,North,75,50,0,2.9,1,Minor
SEV900165,13375.0,Theft,West,124,47,0,5.7,4,Minor
SEV900166,70903.0,Theft,South,12,52,0,2.3,3,Minor
SEV900167,4318.0,Weather,South,16,34,0,4.8,4,Minor
SEV900168,,Accident,Central,171,75,0,3.0,2,Minor
SEV900169,18662.0,Weather,North,131,73,1,7.2,4,Severe
SEV900170,112902.0,Accident,East,44,34,0,1.5,2,Moderate
SEV900171,115614.0,Fire,North,222,77,1,1.5,4,Moderate
SEV900172,33305.0,Accident,Central,124,65,0,3.4,1,Minor
SEV900173,30706.0,Fire,East,142,58,0,7.8,4,Moderate
SEV900174,19062.0,Accident,Central,48,64,1,8.5,2,Moderate
SEV900175,12927.0,Accident,Central,158,72,1,4.8,2,Severe
SEV900176,6083.0,Weather,West,234,27,0,4.7,3,Moderate
SEV900177,18319.0,Liability,South,235,49,0,0.9,3,Minor
SEV900178,63589.0,Accident,North,198,72,1,1.2,1,Minor
SEV900179,34843.0,Accident,Central,30,63,0,9.4,4,Moderate
SEV900180,54578.0,Fire,Central,187,62,0,3.8,1,Minor
SEV900181,2406.0,Accident,South,138,58,0,0.2,1,Minor
SEV900182,4375.0,Fire,Central,64,43,0,7.7,3,Moderate
SEV900183,24961.0,Accident,North,32,28,0,9.8,3,Moderate
SEV900184,17716.0,Accident,West,108,26,0,1.7,4,Minor
SEV900185,11181.0,Fire,South,97,29,0,0.9,2,Minor
SEV900186,27657.0,Accident,North,79,18,1,0.1,3,Minor
SEV900187,10617.0,Accident,West,13,65,0,9.3,4,Severe
SEV900188,26241.0,Liability,West,12,46,0,1.3,4,Minor
SEV900189,16703.0,Accident,South,97,71,0,7.9,4,Moderate
SEV900190,40021.0,Weather,North,13,25,0,3.3,3,Minor
SEV900191,2763.0,Weather,Central,167,19,0,8.5,3,Minor
SEV900192,22987.0,Accident,South,205,57,0,4.5,3,Minor
SEV900193,47273.0,Weather,South,46,70,0,3.2,3,Minor
SEV900194,95668.0,Accident,Central,168,65,1,3.8,3,Severe
SEV900195,33119.0,Liability,West,96,39,1,1.1,3,Minor
SEV900196,37282.0,Accident,West,48,41,0,7.6,1,Moderate
SEV900197,29134.0,Weather,West,109,40,0,2.8,3,Minor
SEV900198,7299.0,Accident,North,181,21,0,8.5,4,Minor
SEV900199,86362.0,Accident,Central,49,26,1,0.8,4,Moderate
SEV900200,28732.0,Weather,East,78,53,1,0.6,1,Moderate
SEV900201,101913.0,Liability,East,148,42,1,7.6,1,Severe
SEV900202,60650.0,Accident,West,13,42,0,5.7,4,Severe
SEV900203,6316.0,Weather,West,195,60,1,2.4,4,Minor
SEV900204,27050.0,Weather,West,199,47,0,9.3,2,Moderate
SEV900205,11811.0,Fire,West,41,74,0,4.8,3,Minor
SEV900206,56037.0,Theft,North,16,78,0,2.5,2,Minor
SEV900207,26544.0,Weather,West,92,73,1,3.5,3,Severe
SEV900208,2359.0,Weather,West,9,33,1,8.7,4,Severe
SEV900209,27371.0,Accident,North,73,21,0,4.2,1,Minor
SEV900210,58671.0,Fire,East,81,38,0,5.8,1,Minor
SEV900211,42868.0,Accident,Central,166,48,1,0.9,2,Moderate
SEV900212,157545.0,Weather,East,72,20,0,2.7,4,Moderate
SEV900213,32866.0,Theft,North,77,39,1,6.6,2,Moderate
SEV900214,7296.0,Fire,East,12,47,1,7.8,3,Severe
SEV900215,4558.0,Accident,East,226,18,1,,1,Moderate
SEV900216,21737.0,Theft,North,86,37,0,8.0,2,Minor
SEV900217,22330.0,Accident,West,141,25,1,5.7,3,Severe
SEV900218,22790.0,Weather,East,142,35,0,6.0,2,Minor
SEV900219,49908.0,Accident,East,40,71,0,6.8,4,Moderate
SEV900220,61874.0,Liability,South,190,79,1,7.5,3,Severe
SEV900221,51053.0,Theft,East,60,26,0,0.4,1,Minor
SEV900222,54378.0,Accident,South,147,52,2,7.6,1,Severe
SEV900223,37696.0,Weather,West,180,47,0,1.1,4,Minor
SEV900224,16860.0,Theft,North,107,38,1,7.5,3,Moderate
SEV900225,4353.0,Weather,North,80,23,0,7.8,2,Moderate
SEV900226,84756.0,Theft,South,168,47,1,5.1,2,Moderate
SEV900227,37172.0,Accident,North,27,49,2,0.5,2,Moderate
SEV900228,5837.0,Theft,South,104,58,1,2.9,1,Minor
SEV900229,103225.0,Liability,Central,3,48,1,2.0,2,Moderate
SEV900230,7141.0,Theft,North,108,50,0,7.0,4,Moderate
SEV900231,9931.0,Liability,West,238,38,0,6.1,2,Minor
SEV900232,13265.0,Accident,West,43,67,2,2.4,1,Minor
SEV900233,13195.0,Weather,Central,112,28,0,4.4,2,Moderate
SEV900234,12868.0,Weather,West,37,56,0,1.9,4,Minor
SEV900235,22668.0,Accident,Central,68,41,0,4.2,4,Minor
SEV900236,23657.0,Accident,Central,98,37,0,9.0,4,Moderate
SEV900237,37938.0,Accident,North,8,62,0,7.8,4,Moderate
SEV900238,,Accident,Central,204,36,0,8.0,2,Moderate
SEV900239,65109.0,Fire,North,203,62,1,2.1,1,Moderate
SEV900240,27221.0,Weather,Central,163,51,0,3.4,3,Severe
SEV900241,11278.0,Accident,West,70,74,0,8.6,2,Moderate
SEV900242,16615.0,Fire,South,122,65,0,4.7,4,Moderate
SEV900243,38117.0,Accident,East,38,56,0,1.7,3,Minor
SEV900244,27554.0,Accident,North,129,53,0,4.2,1,Minor
SEV900245,40540.0,Theft,South,33,56,2,1.3,4,Moderate
SEV900246,23000.0,Theft,East,153,57,0,6.6,2,Minor
SEV900247,17960.0,Accident,North,150,59,0,3.5,4,Minor
SEV900248,19337.0,Weather,South,138,52,0,7.4,2,Moderate
SEV900249,7239.0,Weather,North,182,23,1,2.7,3,Moderate
SEV900250,5842.0,Accident,South,129,19,0,8.6,3,Minor
SEV900251,31973.0,Accident,South,33,18,0,5.4,4,Minor
SEV900252,35929.0,Accident,West,83,58,0,2.3,1,Minor
SEV900253,11601.0,Accident,South,20,51,0,3.1,2,Minor
SEV900254,53295.0,Theft,East,85,48,0,4.8,1,Moderate
SEV900255,29207.0,Theft,North,117,25,1,,1,Moderate
SEV900256,30312.0,Accident,North,153,25,1,4.6,4,Severe
SEV900257,8347.0,Fire,Central,238,33,0,6.3,4,Moderate
SEV900258,4543.0,Theft,West,104,28,1,7.4,3,Severe
SEV900259,150909.0,Accident,Central,81,76,0,4.9,2,Moderate
SEV900260,48681.0,Accident,East,175,24,0,7.1,3,Severe
SEV900261,10616.0,Accident,North,120,33,0,0.0,3,Minor
SEV900262,8434.0,Weather,South,55,33,0,3.2,2,Minor
SEV900263,14109.0,Accident,North,59,51,1,9.5,2,Severe
SEV900264,68221.0,Liability,Central,143,62,0,2.8,3,Minor
SEV900265,53017.0,Accident,East,41,76,0,9.4,3,Moderate
SEV900266,11028.0,Weather,East,51,18,1,7.8,3,Moderate
SEV900267,24641.0,Fire,Central,205,34,0,0.6,1,Minor
SEV900268,34369.0,Accident,South,179,32,0,3.0,4,Minor
SEV900269,28697.0,Accident,East,22,39,0,9.2,1,Moderate
SEV900270,31903.0,Theft,West,79,56,0,0.8,3,Minor
SEV900271,12554.0,Accident,North,40,19,0,7.7,1,Moderate
SEV900272,13118.0,Accident,West,184,33,1,8.2,4,Moderate
SEV900273,11736.0,Theft,East,59,68,0,4.3,4,Minor
SEV900274,6096.0,Accident,South,152,27,0,1.8,4,Minor
SEV900275,23821.0,Theft,South,176,36,0,8.8,1,Severe
SEV900276,21099.0,Accident,West,83,51,0,2.5,2,Minor
SEV900277,22835.0,Liability,East,55,49,0,7.0,4,Minor
SEV900278,51807.0,Accident,East,66,63,0,5.7,2,Minor
SEV900279,52313.0,Accident,Central,199,25,0,9.9,2,Severe
SEV900280,16291.0,Theft,South,16,77,0,2.2,1,Minor
SEV900281,9291.0,Weather,East,22,67,0,4.5,3,Minor
SEV900282,,Fire,East,150,63,0,3.4,2,Moderate
SEV900283,23535.0,Weather,West,139,27,1,9.7,4,Severe
SEV900284,31063.0,Accident,North,96,74,0,5.5,2,Minor
SEV900285,9366.0,Weather,North,161,67,1,9.0,1,Moderate
SEV900286,17656.0,Accident,Central,115,60,0,1.0,1,Minor
SEV900287,50184.0,Fire,West,8,47,0,0.2,2,Minor
SEV900288,16798.0,Liability,East,118,20,0,9.0,4,Minor
SEV900289,21744.0,Accident,West,200,27,1,6.4,1,Moderate
SEV900290,17497.0,Weather,North,189,44,0,7.1,2,Minor
SEV900291,14058.0,Fire,West,157,55,1,7.5,2,Severe
SEV900292,28248.0,Accident,South,94,43,0,1.8,1,Minor
SEV900293,6844.0,Liability,North,94,29,0,6.0,1,Minor
SEV900294,40280.0,Theft,East,162,40,0,7.7,1,Moderate
SEV900295,10105.0,Fire,East,106,64,0,5.3,4,Moderate
SEV900296,,Accident,East,51,59,0,9.5,1,Moderate
SEV900297,8311.0,Theft,East,97,50,0,6.9,2,Moderate
SEV900298,97816.0,Theft,East,93,68,0,8.1,4,Severe
SEV900299,70509.0,Accident,South,98,77,1,5.9,3,Moderate
SEV900300,16730.0,Accident,Central,38,63,0,0.4,1,Minor
SEV900301,9657.0,Accident,North,167,55,0,2.7,1,Minor
SEV900302,26237.0,Fire,Central,187,62,0,8.3,1,Minor
SEV900303,16402.0,Accident,West,53,25,0,5.8,2,Moderate
SEV900304,47201.0,Accident,Central,182,22,1,6.7,1,Moderate
SEV900305,10169.0,Liability,East,26,61,0,7.3,3,Minor
SEV900306,28645.0,Fire,North,40,26,1,10.0,1,Severe
SEV900307,12607.0,Theft,East,218,46,0,8.0,4,Minor
SEV900308,26093.0,Accident,South,39,73,1,2.5,2,Minor
SEV900309,11023.0,Accident,East,82,59,0,6.9,3,Minor
SEV900310,12667.0,Accident,South,76,30,1,1.6,1,Minor
SEV900311,6789.0,Theft,East,159,40,0,2.7,2,Minor
SEV900312,25728.0,Theft,East,47,35,0,3.1,2,Minor
SEV900313,25533.0,Accident,West,168,48,0,4.7,1,Minor
SEV900314,26165.0,Accident,North,91,43,0,3.0,4,Minor
SEV900315,63728.0,Accident,West,102,19,0,2.9,3,Minor
SEV900316,56044.0,Weather,North,66,70,0,1.9,3,Minor
SEV900317,9046.0,Theft,South,49,38,0,1.5,2,Minor
SEV900318,13848.0,Weather,North,235,20,0,7.5,4,Moderate
SEV900319,12308.0,Accident,West,151,28,1,0.6,2,Minor
SEV900320,50640.0,Theft,South,13,56,0,9.4,1,Moderate
SEV900321,17901.0,Weather,South,142,29,0,2.6,3,Minor
SEV900322,30523.0,Accident,South,221,18,0,1.0,1,Minor
SEV900323,,Accident,North,109,61,0,0.5,2,Minor
SEV900324,25264.0,Fire,Central,11,68,0,4.4,2,Minor
SEV900325,51927.0,Fire,Central,153,48,0,7.5,4,Moderate
SEV900326,12409.0,Fire,West,188,54,1,2.1,2,Moderate
SEV900327,29091.0,Accident,Central,182,59,0,6.2,1,Moderate
SEV900328,5677.0,Theft,South,176,69,0,1.2,2,Minor
SEV900329,60788.0,Accident,East,77,60,0,2.7,2,Minor
SEV900330,15134.0,Theft,South,92,75,1,1.4,2,Minor
SEV900331,37655.0,Weather,South,102,18,0,5.6,2,Severe
SEV900332,8803.0,Theft,East,136,74,0,3.2,4,Minor
SEV900333,15864.0,Theft,West,141,35,1,8.7,4,Moderate
SEV900334,71993.0,Accident,North,188,36,1,0.2,2,Moderate
SEV900335,7598.0,Accident,North,114,23,0,9.6,3,Minor
SEV900336,43199.0,Fire,South,14,58,0,6.6,4,Moderate
SEV900337,25483.0,Accident,Central,156,59,1,4.2,2,Moderate
SEV900338,45750.0,Accident,North,162,79,0,0.9,3,Minor
SEV900339,15537.0,Fire,West,76,53,0,3.6,1,Minor
SEV900340,18420.0,Accident,North,184,34,0,2.8,1,Minor
SEV900341,28775.0,Accident,Central,128,56,2,7.8,2,Severe
SEV900342,24315.0,Accident,Central,203,22,3,7.0,2,Severe
SEV900343,28097.0,Theft,East,34,53,0,3.1,3,Minor
SEV900344,28124.0,Accident,West,161,40,0,1.7,3,Minor
SEV900345,14844.0,Theft,East,186,40,0,7.4,1,Minor
SEV900346,13296.0,Weather,West,174,60,0,0.2,3,Minor
SEV900347,38306.0,Accident,South,160,51,0,4.3,2,Minor
SEV900348,56299.0,Weather,South,227,71,0,7.2,3,Moderate
SEV900349,89810.0,Weather,North,218,77,0,8.2,2,Moderate
SEV900350,29977.0,Fire,West,52,77,0,6.9,2,Moderate
SEV900351,32396.0,Theft,North,67,38,0,9.4,1,Severe
SEV900352,15639.0,Theft,South,26,72,0,9.8,1,Minor
SEV900353,63918.0,Fire,West,188,42,3,6.4,3,Severe
SEV900354,11473.0,Weather,East,138,51,0,9.3,2,Moderate
SEV900355,45360.0,Accident,West,199,74,0,0.1,2,Minor
SEV900356,4168.0,Weather,North,84,31,0,8.4,3,Moderate
SEV900357,21455.0,Accident,North,12,58,0,9.6,3,Moderate
SEV900358,76161.0,Accident,Central,192,43,1,1.3,1,Minor
SEV900359,23623.0,Fire,West,178,56,0,,3,Minor
SEV900360,14991.0,Theft,Central,19,19,1,5.9,2,Minor
SEV900361,9258.0,Accident,Central,27,61,0,3.1,3,Minor
SEV900362,23371.0,Fire,South,8,70,0,8.4,4,Severe
SEV900363,32079.0,Theft,West,186,41,1,9.6,4,Severe
SEV900364,61228.0,Accident,South,99,53,2,5.1,3,Severe
SEV900365,63547.0,Fire,Central,61,38,0,6.6,1,Severe
SEV900366,77265.0,Theft,North,80,39,0,6.9,3,Moderate
SEV900367,5490.0,Accident,South,26,61,0,,4,Minor
SEV900368,95154.0,Accident,North,30,35,2,3.3,4,Severe
SEV900369,12196.0,Liability,East,95,44,0,0.1,2,Minor
SEV900370,6439.0,Accident,West,111,58,0,1.4,4,Minor
SEV900371,17530.0,Liability,South,166,72,1,4.3,1,Moderate
SEV900372,35298.0,Weather,North,75,31,1,8.8,3,Severe
SEV900373,12111.0,Accident,East,178,70,0,3.5,3,Minor
SEV900374,63796.0,Accident,West,5,61,0,7.0,3,Moderate
SEV900375,8904.0,Accident,North,120,54,0,8.1,2,Moderate
SEV900376,67625.0,Liability,South,140,64,0,4.7,4,Moderate
SEV900377,9568.0,Weather,East,63,56,0,6.0,4,Minor
SEV900378,45295.0,Fire,Central,60,53,0,9.8,3,Moderate
SEV900379,63462.0,Accident,South,113,28,0,1.3,3,Minor
SEV900380,71009.0,Weather,Central,105,23,0,1.2,1,Minor
SEV900381,12689.0,Weather,South,73,60,2,5.1,4,Severe
SEV900382,11568.0,Theft,Central,161,70,0,7.5,2,Minor
SEV900383,27415.0,Accident,East,49,33,1,3.7,1,Minor
SEV900384,33181.0,Accident,South,192,79,0,9.1,4,Severe
SEV900385,27478.0,Accident,West,129,31,0,1.0,3,Minor
SEV900386,13824.0,Theft,Central,67,68,0,8.1,4,Minor
SEV900387,26151.0,Weather,Central,117,23,1,7.7,3,Severe
SEV900388,42360.0,Theft,North,90,34,0,,4,Moderate
SEV900389,39551.0,Liability,West,182,58,0,8.1,2,Moderate
SEV900390,28946.0,Liability,South,111,78,0,5.0,2,Minor
SEV900391,96333.0,Liability,West,206,75,0,4.9,1,Minor
SEV900392,14849.0,Liability,West,226,55,1,6.3,3,Moderate
SEV900393,39076.0,Fire,West,36,29,1,0.0,2,Moderate
SEV900394,10677.0,Theft,Central,10,67,0,4.9,2,Minor
SEV900395,55830.0,Weather,West,62,63,1,4.8,2,Severe
SEV900396,13451.0,Theft,Central,197,24,0,1.2,2,Minor
SEV900397,73951.0,Accident,North,111,56,1,5.7,1,Moderate
SEV900398,62786.0,Accident,North,122,56,0,7.2,2,Minor
SEV900399,27993.0,Liability,South,58,69,1,4.6,3,Moderate
SEV900400,30810.0,Accident,North,235,79,0,0.3,4,Minor
SEV900401,11627.0,Accident,North,229,30,0,5.1,4,Minor
SEV900402,66327.0,Weather,South,237,31,1,0.7,1,Moderate
SEV900403,17345.0,Accident,North,147,24,0,4.6,2,Minor
SEV900404,17198.0,Liability,East,186,33,1,,1,Moderate
SEV900405,77796.0,Weather,North,112,30,0,3.7,4,Severe
SEV900406,131461.0,Accident,Central,216,43,0,2.3,4,Moderate
SEV900407,32363.0,Liability,Central,8,54,1,6.4,4,Severe
SEV900408,28581.0,Fire,North,70,44,0,5.4,3,Minor
SEV900409,13607.0,Liability,West,216,56,0,0.5,1,Minor
SEV900410,17252.0,Theft,East,104,42,0,5.2,3,Minor
SEV900411,22156.0,Theft,East,81,24,0,9.2,1,Moderate
SEV900412,299108.0,Weather,East,198,27,1,0.1,3,Minor
SEV900413,5005.0,Liability,East,210,61,2,9.2,4,Severe
SEV900414,22738.0,Accident,North,176,57,0,1.5,1,Minor
SEV900415,4324.0,Weather,Central,66,51,0,5.0,4,Moderate
