customer_id,age,annual_income,family_size,num_dependents,owns_home,owns_vehicle,risk_appetite,existing_life_policy,region,recommended_products
PRD600032,53.0,254684.0,2,0,1,1,Medium,0,West,Auto|Home|Health|Investment
PRD600033,68.0,307285.0,1,0,1,1,High,0,West,Auto|Home|Health
PRD600034,58.0,336739.0,2,0,1,0,Medium,1,West,Home
PRD600035,58.0,,2,2,0,0,Medium,0,North,Auto
PRD600036,69.0,1485565.0,4,4,1,1,Low,1,South,Auto|Home|Life|Health|Travel|Investment
PRD600037,27.0,210740.0,3,1,1,1,High,0,South,Auto|Home|Life|Health|Travel|Investment
PRD600038,33.0,979403.0,2,1,1,1,Low,0,North,Home|Travel
PRD600039,57.0,790058.0,1,1,1,1,Medium,0,Central,Auto|Home|Life|Investment
PRD600040,54.0,592295.0,2,2,1,0,Low,0,South,Investment
PRD600041,46.0,620424.0,5,4,0,1,Low,0,South,Health|Travel
PRD600042,43.0,887280.0,3,2,1,1,High,1,Central,Auto|Home|Travel
PRD600043,36.0,568656.0,4,4,1,1,Medium,0,North,Investment
PRD600044,57.0,217297.0,5,5,0,1,High,0,North,Auto|Life|Health
PRD600045,68.0,1606944.0,4,3,0,1,Low,0,West,Auto|Home|Life|Health|Travel|Investment
PRD600046,57.0,209926.0,3,1,1,1,High,1,Central,Auto|Home|Life|Investment
PRD600047,41.0,496360.0,1,0,1,1,Low,0,South,Auto
PRD600048,61.0,780158.0,1,0,1,1,Low,0,North,Auto|Home
PRD600049,37.0,880064.0,2,2,0,1,Low,0,Central,Life
PRD600050,41.0,499893.0,1,0,0,1,Medium,0,Central,Auto|Investment
PRD600051,74.0,925140.0,5,5,1,0,Low,0,West,Auto|Home|Life|Health|Investment
PRD600052,68.0,127729.0,4,3,0,1,Medium,0,North,Life
PRD600053,48.0,307662.0,3,2,1,0,Low,0,Central,Home|Life|Investment
PRD600054,46.0,180050.0,5,5,1,1,Low,1,North,Auto|Home|Life|Health
PRD600055,65.0,460318.0,4,3,0,1,Low,1,South,Auto|Home
PRD600056,43.0,740673.0,1,1,1,0,Low,0,South,Auto|Home|Life|Health|Travel
PRD600057,64.0,337079.0,5,3,0,0,Medium,0,West,Auto|Life|Health|Investment
PRD600058,37.0,653735.0,5,4,0,1,High,0,East,Auto|Life|Health
PRD600059,71.0,1117867.0,3,3,0,1,Medium,0,Central,Life|Investment
PRD600060,28.0,837188.0,5,4,1,1,Low,0,South,Auto|Life
PRD600061,50.0,726979.0,1,0,1,1,High,0,South,Auto|Travel|Investment
PRD600062,47.0,484485.0,4,4,0,1,High,0,Central,Auto|Travel
PRD600063,59.0,223125.0,1,1,1,1,Medium,0,West,Auto
PRD600064,52.0,445214.0,1,0,1,1,Medium,0,South,Home
PRD600065,73.0,793863.0,1,0,0,0,Medium,1,East,Health
PRD600066,28.0,371245.0,5,5,1,0,Medium,0,East,Auto|Home|Life|Travel
PRD600067,47.0,962521.0,5,4,0,1,High,0,North,Auto|Home|Health
PRD600068,,691055.0,3,2,1,0,Medium,0,East,Home|Life|Investment
PRD600069,23.0,492633.0,3,2,1,1,Low,0,Central,Auto|Home
PRD600070,23.0,824641.0,2,0,0,0,Low,0,West,Travel|Investment
PRD600071,74.0,462185.0,4,2,1,1,Medium,1,East,Auto|Home|Investment
PRD600072,37.0,,2,0,1,0,Low,0,South,Home|Travel|Investment
PRD600073,64.0,541536.0,5,4,0,0,High,0,North,Life|Investment
PRD600074,37.0,1072317.0,5,3,0,1,High,0,North,Auto|Life|Health|Travel
PRD600075,43.0,554137.0,4,4,0,1,Low,0,South,Auto|Life|Health|Investment
PRD600076,72.0,720617.0,3,2,0,1,High,1,South,Home|Life|Health|Travel|Investment
PRD600077,62.0,324065.0,2,2,1,1,Low,0,East,Auto|Health|Travel
PRD600078,30.0,458298.0,2,2,1,0,Medium,0,West,Auto|Home
PRD600079,46.0,324533.0,2,2,0,1,Medium,0,South,Home|Life|Investment
PRD600080,51.0,380901.0,1,1,0,0,Low,0,South,Life
PRD600081,30.0,434638.0,4,2,1,0,Low,0,North,Home|Life|Health
PRD600082,37.0,350714.0,1,1,0,1,High,0,North,Life|Travel|Investment
PRD600083,36.0,440918.0,1,0,1,1,Low,0,West,Auto|Home
PRD600084,73.0,267500.0,2,0,0,1,Low,1,West,Health
PRD600085,35.0,389692.0,1,0,0,1,Medium,0,East,Auto
PRD600086,49.0,1087708.0,4,3,0,0,Medium,0,Central,Home|Investment
PRD600087,61.0,986965.0,3,1,0,1,High,1,Central,Auto|Travel|Investment
PRD600088,48.0,570845.0,2,0,1,0,Low,1,South,Auto|Travel
PRD600089,50.0,424796.0,1,0,1,0,High,0,North,Health
PRD600090,43.0,633572.0,2,0,1,1,Low,1,North,Home|Travel
PRD600091,72.0,829337.0,4,2,1,1,Medium,1,East,Auto|Home|Health|Investment
PRD600092,35.0,380681.0,4,4,1,1,Medium,0,South,Life|Health
PRD600093,23.0,1224420.0,3,3,1,0,Medium,0,Central,Home|Life|Travel
PRD600094,54.0,516120.0,1,0,1,0,Low,0,North,Health
PRD600095,30.0,1494285.0,4,3,1,1,Low,0,South,Auto|Home|Life|Health|Travel
PRD600096,24.0,739477.0,5,4,1,1,Low,0,East,Home|Life
PRD600097,25.0,263471.0,3,3,1,1,Low,0,North,Auto
PRD600098,53.0,180802.0,5,4,0,1,Low,1,Central,Auto|Life|Health
PRD600099,,1000342.0,1,0,1,1,Medium,0,South,Auto|Home|Life
PRD600100,59.0,635605.0,2,0,1,0,Low,0,North,Auto|Life|Health
PRD600101,61.0,491087.0,3,3,1,0,Low,0,Central,Life|Health
PRD600102,43.0,308735.0,1,1,1,1,Low,0,South,Auto|Home|Life|Travel
PRD600103,73.0,496348.0,5,5,1,0,Medium,0,Central,Home|Health
PRD600104,32.0,1155131.0,5,5,1,1,Low,1,Central,Auto|Home|Travel
PRD600105,43.0,540266.0,3,3,1,1,Low,0,North,Auto|Investment
PRD600106,36.0,710028.0,1,0,0,1,High,0,South,Auto|Life|Travel|Investment
PRD600107,42.0,1854423.0,2,1,0,1,Medium,0,East,Auto|Investment
PRD600108,44.0,338695.0,2,1,1,0,High,1,South,Home|Life|Health
PRD600109,33.0,2121381.0,2,2,1,0,Medium,1,North,Auto|Home
PRD600110,22.0,,1,0,0,1,Medium,0,South,Auto|Home
PRD600111,61.0,220422.0,1,1,1,1,Low,0,West,Auto|Home|Health
PRD600112,41.0,440426.0,5,5,1,0,Low,1,North,Auto|Home|Travel
PRD600113,34.0,,5,3,1,1,High,1,North,Auto|Home
PRD600114,,846075.0,4,3,1,0,Low,0,East,Home|Health|Investment
PRD600115,31.0,436886.0,5,3,1,1,Low,0,South,Auto|Home|Life
PRD600116,42.0,1481222.0,3,2,0,1,Low,0,Central,Auto|Life|Health
PRD600117,35.0,536631.0,2,1,0,0,Medium,0,Central,Auto|Home|Life|Health|Travel
PRD600118,68.0,193872.0,1,0,1,1,High,1,East,Auto|Home|Life
PRD600119,45.0,1537742.0,5,3,1,1,Low,1,East,Auto|Life|Health|Travel
PRD600120,65.0,,2,0,1,1,Low,0,Central,Auto|Home|Travel
PRD600121,50.0,651744.0,4,4,1,0,Low,0,East,Home|Life
PRD600122,23.0,1174575.0,5,3,0,1,High,1,West,Auto|Home|Life|Investment
PRD600123,63.0,942998.0,2,2,0,1,High,0,South,Auto|Travel
PRD600124,65.0,830490.0,5,3,0,1,Low,0,Central,Auto|Life|Health|Travel
PRD600125,67.0,721369.0,3,2,1,0,High,1,South,Home|Life|Health|Travel|Investment
PRD600126,51.0,421828.0,4,2,0,1,Medium,0,West,Auto|Life|Health
PRD600127,22.0,695187.0,2,2,0,1,Low,1,East,Auto|Home
PRD600128,26.0,256309.0,1,0,0,1,Medium,0,South,Health
PRD600129,46.0,842292.0,3,1,0,1,High,1,North,Auto|Home|Life|Health|Investment
PRD600130,51.0,1244131.0,4,3,0,1,High,1,North,Auto|Home|Life|Health|Investment
PRD600131,23.0,397219.0,2,2,1,1,High,0,West,Auto|Home|Life|Travel
PRD600132,55.0,984436.0,4,3,0,0,High,0,East,Auto|Health|Travel
PRD600133,41.0,708756.0,1,1,0,1,Low,0,North,Auto|Home|Travel
PRD600134,29.0,703750.0,4,3,1,0,Medium,0,Central,Home|Life|Investment
PRD600135,26.0,618840.0,3,2,0,1,Low,0,West,Auto|Home|Life|Health|Investment
PRD600136,67.0,761001.0,5,3,0,0,Low,0,West,Auto|Life|Health|Investment
PRD600137,37.0,366516.0,1,0,1,0,Medium,0,West,Home|Travel
PRD600138,44.0,747206.0,3,1,1,0,Medium,1,West,Travel|Investment
PRD600139,42.0,634415.0,4,3,0,0,Low,1,West,Home|Life|Health|Travel
PRD600140,74.0,222582.0,5,5,1,0,Low,0,South,Home|Life|Health
PRD600141,39.0,1339921.0,3,2,1,0,Medium,1,East,Health|Travel|Investment
PRD600142,37.0,282681.0,1,0,1,1,Medium,0,North,Home|Travel
PRD600143,49.0,208725.0,4,4,1,1,Low,0,West,Health
PRD600144,72.0,821966.0,2,2,1,1,Low,0,West,Auto|Home|Life|Health|Travel
PRD600145,55.0,415577.0,5,4,1,1,Low,0,West,Auto|Life|Health
PRD600146,22.0,516863.0,3,3,1,1,Medium,1,Central,Auto|Home|Travel
PRD600147,24.0,378792.0,3,3,1,1,Low,1,East,Auto|Home|Health
PRD600148,34.0,521894.0,5,3,1,1,High,0,South,Auto|Home|Life|Health|Travel|Investment
PRD600149,74.0,433788.0,1,1,0,1,Medium,1,Central,Auto|Investment
PRD600150,24.0,,2,0,1,1,Low,1,Central,Auto|Life|Travel|Investment
PRD600151,21.0,441106.0,1,0,1,0,High,0,Central,Home|Health|Investment
PRD600152,60.0,219563.0,4,4,1,1,High,0,West,Auto|Home|Travel
PRD600153,67.0,588548.0,1,0,1,0,Low,1,South,Auto|Home|Health|Travel|Investment
PRD600154,31.0,1196402.0,5,5,1,1,High,0,Central,Auto|Home|Life
PRD600155,30.0,889050.0,3,1,1,1,Low,0,East,Auto|Life|Investment
PRD600156,42.0,246934.0,1,0,0,1,High,0,East,Auto|Home|Life
PRD600157,59.0,768690.0,5,3,1,1,High,0,South,Auto|Home|Health|Travel
PRD600158,26.0,517940.0,5,3,1,0,Low,0,South,Auto|Home|Travel|Investment
PRD600159,22.0,419534.0,5,3,1,0,Medium,0,North,Auto|Home|Life|Health|Travel
PRD600160,63.0,528328.0,4,2,0,1,High,0,West,Auto|Home|Life|Health
PRD600161,56.0,,2,1,0,1,Medium,0,North,Health
PRD600162,21.0,139388.0,3,3,1,1,Low,0,East,Life
PRD600163,55.0,123365.0,4,3,0,0,Low,1,West,Auto|Life|Health
PRD600164,30.0,197780.0,4,2,1,1,Medium,0,Central,Auto|Home
PRD600165,57.0,481260.0,5,5,1,1,Medium,0,North,Home|Life|Health
PRD600166,27.0,965127.0,1,0,1,0,Medium,0,West,Life|Investment
PRD600167,69.0,450335.0,1,1,1,1,Low,1,West,Auto|Home|Health|Investment
PRD600168,44.0,1382833.0,1,0,1,1,Low,0,East,Home|Health
PRD600169,72.0,449487.0,3,1,0,0,High,0,West,Auto|Life|Health|Travel
PRD600170,31.0,2218676.0,4,3,0,1,Medium,1,Central,Home|Investment
PRD600171,60.0,834714.0,5,5,1,0,Low,0,West,Travel
PRD600172,42.0,629748.0,1,0,0,1,Medium,1,Central,Auto|Health
PRD600173,28.0,630117.0,4,3,1,0,High,0,East,Auto|Health|Travel
PRD600174,67.0,526416.0,1,1,0,1,Low,0,East,Home|Life|Investment
PRD600175,61.0,522191.0,1,1,1,0,Low,1,Central,Auto|Travel
PRD600176,39.0,530682.0,5,3,0,0,Medium,0,West,Travel
PRD600177,47.0,3324105.0,4,3,0,1,Low,0,East,Auto|Home|Life|Health|Travel|Investment
PRD600178,62.0,1184962.0,2,0,1,0,High,0,East,Home|Life|Health
PRD600179,46.0,775850.0,3,2,0,1,Medium,0,East,Life|Investment
PRD600180,34.0,469051.0,1,1,1,1,Medium,0,West,Home|Health|Investment
PRD600181,72.0,554356.0,2,2,1,1,Medium,0,Central,Auto|Life|Health
PRD600182,73.0,347840.0,3,1,1,1,Medium,0,East,Home|Health
PRD600183,54.0,206748.0,3,3,1,1,Medium,1,South,Life
PRD600184,42.0,,2,1,1,0,Low,1,West,Auto|Home
PRD600185,56.0,310383.0,5,5,0,1,Medium,0,North,Auto|Life|Health|Travel
PRD600186,68.0,794806.0,5,5,0,0,Medium,1,West,Auto|Life|Health|Travel
PRD600187,28.0,672986.0,1,1,1,1,Medium,0,North,Auto|Life
PRD600188,45.0,988652.0,4,4,1,0,Low,1,North,Auto|Home|Health|Travel|Investment
PRD600189,62.0,272166.0,4,4,0,1,Medium,0,East,Auto|Home|Life|Health|Investment
PRD600190,50.0,527989.0,3,1,1,1,High,0,Central,Auto|Home|Life|Investment
PRD600191,27.0,250692.0,3,1,0,0,Medium,0,South,Life|Health
PRD600192,28.0,409370.0,5,5,0,0,Low,0,East,Auto|Health|Investment
PRD600193,71.0,1252596.0,3,1,0,1,High,1,North,Auto|Home|Life|Investment
PRD600194,36.0,691309.0,3,2,0,0,Low,0,Central,Auto|Health|Travel|Investment
PRD600195,23.0,469212.0,4,4,1,1,Medium,0,South,Auto|Home|Life
PRD600196,55.0,398149.0,5,3,1,1,Low,0,East,Home|Life|Health
PRD600197,22.0,678955.0,5,4,0,1,Low,1,East,Travel
PRD600198,60.0,379456.0,5,3,1,1,Medium,1,North,Auto|Home|Health
PRD600199,44.0,504655.0,2,1,1,1,Low,0,North,Auto|Home
PRD600200,42.0,381711.0,4,2,1,1,Medium,1,North,Auto|Home|Life|Health
PRD600201,73.0,370613.0,5,3,0,1,Low,0,North,Auto|Home|Life|Health|Travel
PRD600202,63.0,331795.0,1,0,1,1,Low,1,South,Auto|Home|Investment
PRD600203,48.0,781124.0,3,2,0,1,Low,0,North,Life|Health|Travel|Investment
PRD600204,53.0,316291.0,5,4,0,0,Low,0,West,Auto|Life
PRD600205,59.0,245501.0,3,3,1,1,Medium,1,Central,Auto|Home|Investment
PRD600206,56.0,338992.0,5,5,0,0,Medium,0,North,Home|Life
PRD600207,40.0,748340.0,3,3,0,1,Low,0,South,Life
PRD600208,21.0,928055.0,5,4,1,1,Medium,0,Central,Home|Life|Travel|Investment
PRD600209,54.0,219188.0,5,3,0,1,Medium,0,South,Auto|Home|Life|Health
PRD600210,62.0,1864617.0,5,4,0,1,Medium,1,West,Health|Travel
PRD600211,21.0,883085.0,1,0,0,0,Medium,0,Central,Travel
PRD600212,70.0,1341580.0,5,5,1,1,Low,0,East,Auto|Home|Life|Investment
PRD600213,36.0,748191.0,5,3,0,0,Low,0,East,Life
PRD600214,56.0,423384.0,2,2,0,1,Medium,0,North,Health
PRD600215,24.0,604405.0,5,4,0,1,Low,0,Central,Life|Travel|Investment
PRD600216,53.0,624203.0,3,3,1,0,Low,1,Central,Home|Health|Investment
PRD600217,27.0,1117426.0,2,2,1,1,Medium,0,North,Home|Life
PRD600218,52.0,631937.0,2,2,0,0,Low,1,North,Health
PRD600219,35.0,453377.0,4,2,0,1,Low,0,West,Auto|Life|Investment
PRD600220,60.0,260353.0,4,4,1,1,Low,0,North,Auto|Life|Health|Investment
PRD600221,26.0,631924.0,5,5,1,1,Medium,0,West,Auto|Life|Travel
PRD600222,64.0,179185.0,2,2,0,1,Medium,0,West,Auto|Life|Health|Investment
PRD600223,37.0,587331.0,2,2,1,0,Medium,0,Central,Home|Life|Health|Investment
PRD600224,29.0,324704.0,3,3,1,0,Low,0,West,Home|Life|Health
PRD600225,51.0,2543605.0,1,1,0,1,Low,0,East,Auto|Home|Life|Travel|Investment
PRD600226,73.0,266568.0,4,2,0,1,High,0,South,Life
PRD600227,54.0,404720.0,1,0,0,1,Medium,0,West,Auto
PRD600228,67.0,334458.0,2,1,1,1,Low,0,North,Auto|Health|Travel
PRD600229,27.0,370021.0,4,2,0,1,High,0,Central,Life
PRD600230,33.0,2004056.0,5,3,1,1,Medium,0,Central,Auto|Life|Health|Travel|Investment
PRD600231,30.0,449846.0,4,3,0,0,Medium,0,East,Auto|Life
PRD600232,38.0,274040.0,2,0,1,0,High,0,West,Home|Life
PRD600233,51.0,257878.0,3,3,1,1,Medium,0,North,Life
PRD600234,58.0,398141.0,5,3,0,1,Low,0,South,Auto|Home|Life|Health|Travel
PRD600235,69.0,631838.0,5,4,1,1,Medium,0,West,Auto|Home|Health
PRD600236,55.0,419466.0,5,3,0,0,Medium,1,North,Home|Health|Travel
PRD600237,67.0,448246.0,2,0,1,1,Low,1,Central,Auto|Home|Life|Health
PRD600238,65.0,216220.0,5,5,0,1,Low,0,North,Auto|Life|Health
PRD600239,63.0,463278.0,5,5,1,1,Medium,0,Central,Home|Life|Travel
PRD600240,,275894.0,2,0,0,1,High,0,East,Auto|Home|Life
PRD600241,58.0,249775.0,2,2,0,1,Medium,0,North,Auto|Home|Life|Health
PRD600242,69.0,1538173.0,4,3,0,1,Medium,0,North,Auto|Home|Life|Health|Travel
PRD600243,34.0,509518.0,5,4,1,1,High,1,South,Auto|Travel|Investment
PRD600244,39.0,320343.0,4,2,0,1,High,1,East,Auto|Life
PRD600245,69.0,471988.0,5,5,0,1,High,0,West,Auto|Home|Life|Health
PRD600246,66.0,686801.0,3,1,0,1,Medium,0,Central,Auto|Life|Travel
PRD600247,69.0,1117814.0,1,1,1,0,Medium,0,South,Auto|Home|Life|Travel|Investment
PRD600248,63.0,375952.0,4,3,1,1,Low,0,North,Auto|Life
PRD600249,51.0,821743.0,4,3,0,0,Low,1,East,Life|Health
PRD600250,73.0,521985.0,2,0,1,0,Low,1,West,Auto|Home|Investment
PRD600251,38.0,695018.0,3,3,1,1,Medium,0,North,Home|Life
PRD600252,45.0,2648162.0,1,0,1,1,High,1,South,Auto|Home|Health|Travel
PRD600253,56.0,621666.0,2,2,1,0,Medium,0,West,Home|Life
PRD600254,45.0,246574.0,2,2,1,1,Low,0,West,Auto
PRD600255,56.0,300776.0,4,3,0,1,Low,1,East,Health
PRD600256,40.0,286048.0,4,2,0,1,Medium,0,East,Auto|Health
PRD600257,71.0,797609.0,4,3,0,1,Low,0,West,Life
PRD600258,29.0,456127.0,3,2,1,1,Low,0,West,Auto|Life|Health|Investment
PRD600259,57.0,605841.0,5,4,1,0,Medium,0,West,Home|Life|Health|Travel
PRD600260,63.0,436500.0,2,2,0,1,Low,0,North,Auto
PRD600261,34.0,523267.0,5,3,1,1,Medium,0,Central,Auto|Home|Life|Health|Travel
PRD600262,70.0,172976.0,2,1,0,0,High,0,Central,Health
PRD600263,62.0,1339512.0,3,1,0,1,Low,1,West,Auto|Home|Health|Travel
PRD600264,29.0,522038.0,4,4,1,1,Low,1,North,Home|Health
PRD600265,52.0,713939.0,4,4,1,0,Low,0,East,Home|Health
PRD600266,66.0,1292282.0,4,4,1,1,Medium,1,East,Auto|Home|Travel
PRD600267,67.0,342270.0,3,1,0,0,Medium,0,East,Travel|Investment
PRD600268,22.0,1438584.0,2,0,0,0,High,0,Central,Home|Life|Travel|Investment
PRD600269,38.0,513766.0,5,4,1,1,High,1,Central,Home|Investment
PRD600270,50.0,1835999.0,3,1,1,1,Medium,1,Central,Auto|Home|Life|Investment
PRD600271,31.0,913206.0,1,0,1,1,Low,0,West,Auto|Home|Health
PRD600272,41.0,133541.0,3,2,0,0,Low,0,South,Auto|Life
PRD600273,21.0,394565.0,2,0,1,1,Medium,0,North,Auto|Life
PRD600274,42.0,302044.0,3,1,1,0,Medium,0,Central,Home|Life
PRD600275,55.0,576342.0,1,0,1,1,Medium,0,West,Auto|Home|Life|Investment
PRD600276,44.0,757530.0,2,1,0,0,Medium,1,South,Auto|Life|Investment
PRD600277,70.0,543025.0,3,1,0,1,Medium,0,East,Life|Travel
PRD600278,51.0,189178.0,5,3,0,1,Low,0,North,Auto|Home|Life|Health
PRD600279,23.0,681170.0,1,0,0,0,Low,0,East,Auto|Life|Travel|Investment
PRD600280,45.0,685036.0,1,0,0,0,Low,0,South,Home
PRD600281,38.0,401230.0,2,0,1,1,Low,0,North,Auto|Health|Travel
PRD600282,39.0,1183183.0,3,2,1,1,Low,0,Central,Home|Life|Travel
PRD600283,60.0,811985.0,1,1,0,1,High,1,North,Home|Investment
PRD600284,28.0,1765923.0,1,0,0,1,Low,0,East,Home|Health|Travel|Investment
PRD600285,72.0,524757.0,2,2,0,1,Medium,1,South,Health
PRD600286,61.0,856241.0,1,0,0,1,Medium,0,South,Auto|Home
PRD600287,45.0,536901.0,5,3,0,1,Low,1,West,Home|Health|Travel
PRD600288,24.0,388049.0,2,1,0,1,Low,0,North,Auto|Home
PRD600289,50.0,897608.0,5,3,1,1,Medium,1,East,Auto|Life
PRD600290,59.0,266310.0,2,2,1,1,High,0,Central,Home
PRD600291,65.0,492990.0,5,3,0,0,Medium,0,South,Life
PRD600292,61.0,779379.0,2,2,0,1,Medium,0,East,Auto|Home|Life|Investment
PRD600293,34.0,602868.0,1,0,0,1,Low,1,North,Investment
PRD600294,28.0,739992.0,4,3,1,0,Medium,0,Central,Auto|Home|Life|Health|Investment
PRD600295,35.0,,4,4,0,0,Low,0,East,Home|Health|Travel
PRD600296,64.0,761330.0,2,2,0,1,Medium,1,Central,Auto|Health|Investment
PRD600297,74.0,690454.0,2,2,0,0,High,0,North,Home|Life|Health|Travel
PRD600298,74.0,474672.0,4,2,1,0,Medium,1,South,Home|Life|Health
PRD600299,42.0,901614.0,5,4,0,1,High,1,Central,Auto|Travel
PRD600300,36.0,172104.0,5,4,1,1,Medium,0,North,Auto|Life|Health
PRD600301,70.0,1019569.0,2,2,1,0,Low,0,North,Life
PRD600302,67.0,305412.0,2,0,0,1,Medium,1,East,Auto
PRD600303,61.0,639399.0,2,1,1,1,Medium,0,East,Auto|Home|Travel
PRD600304,35.0,319779.0,5,5,0,0,Medium,0,West,Life|Health|Investment
PRD600305,40.0,1229129.0,4,3,1,1,High,1,Central,Auto|Home|Life|Health|Travel
PRD600306,39.0,424930.0,5,5,0,1,Medium,1,South,Life
PRD600307,52.0,182983.0,1,0,1,1,Low,1,South,Auto|Home|Life
PRD600308,34.0,178596.0,2,0,1,1,High,0,East,Auto|Life
PRD600309,71.0,1736695.0,5,3,1,1,Medium,0,South,Auto|Home|Life|Travel|Investment
PRD600310,37.0,,2,2,1,1,Medium,1,West,Auto|Home|Life
PRD600311,47.0,921057.0,1,1,0,1,Low,0,West,Home|Life|Investment
PRD600312,48.0,208628.0,3,2,1,1,Low,0,North,Auto|Life|Health|Investment
PRD600313,45.0,438839.0,4,4,0,1,Medium,0,Central,Auto|Life|Health|Travel|Investment
PRD600314,60.0,490554.0,5,4,1,1,Low,0,East,Auto|Home|Life|Investment
PRD600315,45.0,513201.0,1,0,0,1,Low,0,South,Auto|Home|Life
PRD600316,67.0,962808.0,5,3,0,1,Medium,0,East,Auto|Home|Life|Health|Travel
PRD600317,60.0,459801.0,5,4,1,0,Medium,0,West,Auto|Life
PRD600318,38.0,762659.0,1,0,0,1,Low,0,East,Auto|Life
PRD600319,36.0,837686.0,1,0,1,0,Medium,0,South,Home|Investment
PRD600320,40.0,1311123.0,5,5,0,1,Medium,0,North,Auto|Travel
PRD600321,21.0,198346.0,5,4,0,1,Low,0,West,Auto|Life|Health
PRD600322,51.0,578827.0,5,4,1,1,Medium,0,North,Auto|Home|Life|Health|Investment
PRD600323,63.0,412162.0,3,1,1,1,High,0,South,Home|Life|Travel|Investment
PRD600324,59.0,265114.0,1,0,0,1,Medium,1,North,Auto|Life
PRD600325,68.0,274297.0,5,3,0,1,Medium,0,Central,Auto
PRD600326,73.0,645051.0,1,0,1,0,High,1,North,Auto|Health|Investment
PRD600327,65.0,624062.0,4,3,0,1,Low,0,South,Auto|Life|Health|Travel|Investment
PRD600328,21.0,468326.0,2,1,0,1,Low,0,South,Home|Travel
PRD600329,55.0,,5,5,1,1,Medium,0,West,Life|Health|Investment
PRD600330,33.0,524217.0,5,3,0,1,Low,0,West,Life|Investment
PRD600331,45.0,331116.0,5,3,1,1,Medium,1,North,Auto|Home
PRD600332,21.0,236882.0,4,4,1,0,High,1,Central,Life
PRD600333,43.0,,3,1,0,0,Medium,0,Central,Auto|Life|Health
PRD600334,,536887.0,4,3,1,1,High,0,South,Auto|Life
PRD600335,34.0,486352.0,3,1,1,0,High,0,East,Auto|Life
PRD600336,31.0,271660.0,4,4,0,1,Low,0,South,Auto|Home|Life|Travel
PRD600337,60.0,290556.0,1,0,1,1,Low,0,North,Home
PRD600338,44.0,451711.0,5,4,1,1,High,0,South,Auto|Home
PRD600339,34.0,297206.0,1,0,1,0,Medium,0,North,Home|Life
PRD600340,37.0,786208.0,4,2,1,1,Medium,1,North,Auto|Life|Travel
PRD600341,41.0,328717.0,1,1,1,1,Medium,0,East,Auto|Home
PRD600342,52.0,433456.0,3,3,1,0,Low,0,Central,Life|Investment
PRD600343,26.0,410925.0,4,3,1,1,Low,0,Central,Auto|Home|Life|Investment
PRD600344,44.0,225059.0,2,0,0,1,High,1,North,Auto
PRD600345,40.0,346956.0,3,2,1,0,Medium,0,North,Life|Travel
PRD600346,38.0,212609.0,3,3,0,0,High,0,West,Home|Life|Health
