customer_id,age,gender,region,vehicle_type,vehicle_age,annual_mileage,prior_claims,policy_tenure_years,coverage_level,credit_score,has_telematics,will_claim
MOT700090,18.0,M,North,Sedan,8,15146.0,0,1.2,Comprehensive,700.0,0,1
MOT700091,37.0,M,East,Hatchback,10,11731.0,0,2.8,ThirdParty,721.0,0,0
MOT700092,64.0,F,North,Sedan,16,7733.0,3,1.4,Comprehensive,572.0,0,0
MOT700093,58.0,M,Central,Sedan,6,13245.0,0,3.8,Comprehensive,739.0,0,0
MOT700094,34.0,M,South,Sedan,9,6590.0,2,3.3,ThirdParty,487.0,1,1
MOT700095,52.0,F,Central,Sedan,18,6497.0,0,5.6,ThirdParty,827.0,0,0
MOT700096,27.0,M,South,Van,10,16254.0,0,5.3,ThirdParty,516.0,0,0
MOT700097,30.0,M,North,Hatchback,11,7961.0,1,2.8,Comprehensive,884.0,1,0
MOT700098,21.0,M,East,Sedan,18,20084.0,0,1.0,ThirdParty,797.0,1,1
MOT700099,58.0,M,Central,Sedan,6,11043.0,0,0.3,ThirdParty,577.0,0,0
MOT700100,25.0,F,South,SUV,12,14551.0,0,7.6,Comprehensive,883.0,1,0
MOT700101,35.0,M,East,Hatchback,12,5086.0,0,3.6,ThirdParty,358.0,0,0
MOT700102,50.0,M,North,Sports,17,3884.0,1,6.6,Comprehensive,374.0,1,0
MOT700103,78.0,F,West,Sedan,3,21704.0,1,6.9,Comprehensive,791.0,0,0
MOT700104,47.0,M,Central,SUV,13,18737.0,0,7.6,Comprehensive,345.0,0,0
MOT700105,60.0,F,East,Sedan,14,19652.0,0,6.5,ThirdParty,741.0,0,1
MOT700106,77.0,M,Central,Sedan,9,10228.0,0,4.5,ThirdParty,441.0,0,1
MOT700107,40.0,M,North,Sedan,17,13567.0,0,0.2,ThirdParty,547.0,1,0
MOT700108,37.0,F,East,SUV,19,12586.0,1,3.0,ThirdParty,710.0,0,1
MOT700109,66.0,F,East,Sedan,16,12571.0,0,9.0,ThirdParty,900.0,0,0
MOT700110,43.0,F,East,Sports,12,18100.0,0,13.6,Comprehensive,327.0,0,1
MOT700111,57.0,M,West,Sedan,1,17176.0,2,2.7,Premium,859.0,1,0
MOT700112,47.0,M,Central,Sedan,19,13406.0,0,20.0,Comprehensive,304.0,0,0
MOT700113,41.0,M,West,Hatchback,4,7815.0,1,1.7,Premium,676.0,1,1
MOT700114,40.0,M,North,Sedan,4,17940.0,1,4.9,ThirdParty,884.0,0,1
MOT700115,62.0,F,South,Hatchback,13,5717.0,1,4.6,Comprehensive,877.0,0,0
MOT700116,64.0,M,East,Hatchback,2,9421.0,0,1.0,Comprehensive,559.0,0,0
MOT700117,67.0,M,Central,SUV,5,9435.0,1,12.9,ThirdParty,676.0,0,0
MOT700118,76.0,M,Central,Hatchback,3,7614.0,0,1.6,ThirdParty,402.0,0,1
MOT700119,76.0,M,West,Sedan,4,15298.0,0,0.2,Comprehensive,880.0,0,1
MOT700120,70.0,F,Central,Hatchback,7,9865.0,0,1.2,Premium,401.0,1,0
MOT700121,46.0,M,South,Van,16,10182.0,0,10.7,Comprehensive,872.0,0,0
MOT700122,49.0,M,North,SUV,11,7372.0,1,16.3,ThirdParty,469.0,1,0
MOT700123,44.0,F,East,Sports,16,12741.0,1,1.2,ThirdParty,486.0,0,0
MOT700124,45.0,M,Central,Sedan,19,13001.0,1,3.5,ThirdParty,452.0,0,0
MOT700125,58.0,M,South,Hatchback,11,10818.0,0,9.6,Comprehensive,809.0,0,0
MOT700126,52.0,M,South,Hatchback,12,11986.0,0,8.9,ThirdParty,784.0,1,0
MOT700127,52.0,M,East,Hatchback,4,13867.0,1,0.9,Comprehensive,483.0,1,0
MOT700128,77.0,M,North,SUV,16,13085.0,0,6.1,Premium,517.0,1,1
MOT700129,47.0,M,West,Sedan,0,14357.0,1,13.6,Comprehensive,621.0,0,1
MOT700130,37.0,M,East,Hatchback,0,5417.0,0,4.4,Comprehensive,817.0,0,0
MOT700131,,M,West,SUV,7,8884.0,1,6.2,ThirdParty,696.0,0,0
MOT700132,36.0,F,Central,SUV,6,12097.0,1,2.6,ThirdParty,456.0,0,0
MOT700133,43.0,M,Central,SUV,19,7735.0,0,9.9,Comprehensive,773.0,0,0
MOT700134,52.0,M,North,Van,0,8803.0,0,0.8,Premium,622.0,0,0
MOT700135,63.0,F,West,SUV,1,3094.0,1,10.5,ThirdParty,506.0,0,0
MOT700136,27.0,M,South,Hatchback,13,20362.0,0,3.4,Comprehensive,638.0,1,0
MOT700137,58.0,F,Central,SUV,4,12652.0,1,1.7,ThirdParty,566.0,1,1
MOT700138,68.0,M,North,Sedan,18,10190.0,0,1.1,ThirdParty,757.0,0,1
MOT700139,38.0,F,East,Hatchback,18,17252.0,1,0.6,ThirdParty,547.0,0,0
MOT700140,36.0,F,North,Sedan,13,16961.0,0,10.6,Comprehensive,739.0,1,0
MOT700141,25.0,F,West,Hatchback,6,11804.0,0,2.5,ThirdParty,612.0,1,0
MOT700142,18.0,M,Central,Hatchback,19,14394.0,0,5.7,Comprehensive,627.0,0,1
MOT700143,18.0,F,East,SUV,7,9750.0,0,1.8,Comprehensive,355.0,0,0
MOT700144,23.0,F,South,Hatchback,15,16207.0,0,0.2,ThirdParty,571.0,1,1
MOT700145,63.0,M,North,Hatchback,2,11088.0,0,4.0,Comprehensive,702.0,0,1
MOT700146,57.0,M,North,SUV,1,9241.0,0,7.8,Comprehensive,311.0,1,0
MOT700147,40.0,F,Central,Van,5,11873.0,0,4.4,ThirdParty,412.0,0,0
MOT700148,74.0,M,South,Hatchback,12,6440.0,1,1.9,Comprehensive,551.0,0,0
MOT700149,33.0,F,South,Hatchback,7,13152.0,0,1.1,ThirdParty,880.0,0,0
MOT700150,19.0,M,North,Sedan,0,10413.0,0,2.2,Comprehensive,795.0,0,0
MOT700151,74.0,M,West,Sports,16,11743.0,1,15.1,Comprehensive,895.0,1,0
MOT700152,29.0,F,East,Sedan,16,11892.0,0,1.0,ThirdParty,580.0,0,1
MOT700153,72.0,M,South,Sedan,2,13014.0,0,6.0,Comprehensive,568.0,1,0
MOT700154,59.0,F,Central,Sedan,15,10897.0,1,1.6,ThirdParty,875.0,0,0
MOT700155,79.0,F,East,Hatchback,2,11398.0,1,0.3,Comprehensive,,0,0
MOT700156,53.0,F,North,Van,1,12104.0,0,6.1,ThirdParty,667.0,1,0
MOT700157,39.0,F,West,SUV,3,13958.0,0,1.8,Comprehensive,367.0,1,0
MOT700158,40.0,F,South,Hatchback,1,13667.0,0,2.9,ThirdParty,670.0,0,0
MOT700159,45.0,F,West,Hatchback,13,14060.0,0,30.0,ThirdParty,632.0,1,0
MOT700160,57.0,F,West,SUV,6,5310.0,1,3.9,Comprehensive,544.0,1,0
MOT700161,45.0,F,South,Van,7,7077.0,0,8.3,Comprehensive,387.0,0,0
MOT700162,27.0,M,North,Sedan,6,17740.0,0,5.0,Comprehensive,701.0,0,0
MOT700163,30.0,M,West,Hatchback,19,11300.0,1,2.6,Premium,302.0,0,0
MOT700164,74.0,F,West,SUV,17,15576.0,0,8.9,ThirdParty,679.0,1,1
MOT700165,30.0,M,Central,SUV,15,11110.0,0,4.0,Premium,892.0,1,0
MOT700166,61.0,M,West,Hatchback,7,8257.0,0,0.7,Comprehensive,842.0,0,0
MOT700167,64.0,F,West,Hatchback,11,2380.0,0,11.0,Comprehensive,577.0,0,0
MOT700168,23.0,M,North,Sedan,0,3345.0,0,8.0,ThirdParty,844.0,0,0
MOT700169,63.0,F,East,SUV,8,21728.0,0,2.0,Comprehensive,686.0,0,1
MOT700170,28.0,F,East,Van,4,19024.0,0,12.0,Comprehensive,660.0,0,0
MOT700171,39.0,M,South,Hatchback,19,16668.0,1,7.2,Comprehensive,771.0,0,1
MOT700172,69.0,M,South,SUV,4,18205.0,0,3.4,ThirdParty,445.0,0,0
MOT700173,23.0,M,East,Van,6,,0,7.8,Comprehensive,369.0,0,0
MOT700174,32.0,M,East,Sedan,0,7741.0,0,13.4,Comprehensive,320.0,1,0
MOT700175,69.0,M,Central,Sports,16,13790.0,0,4.1,ThirdParty,452.0,0,0
MOT700176,23.0,F,Central,Sedan,16,,2,4.1,Comprehensive,641.0,0,1
MOT700177,42.0,F,South,Hatchback,8,8737.0,0,6.0,ThirdParty,897.0,0,1
MOT700178,27.0,F,Central,Sedan,12,,2,1.1,Comprehensive,647.0,0,1
MOT700179,29.0,M,East,Hatchback,19,7777.0,0,1.9,Comprehensive,743.0,1,0
MOT700180,34.0,M,West,Hatchback,5,15381.0,0,1.2,Comprehensive,631.0,1,0
MOT700181,41.0,M,East,SUV,4,19220.0,0,7.9,Premium,843.0,0,0
MOT700182,71.0,M,Central,Hatchback,19,9337.0,0,0.4,Comprehensive,553.0,0,0
MOT700183,60.0,F,West,SUV,8,14578.0,0,3.6,Comprehensive,382.0,1,1
MOT700184,65.0,M,West,Hatchback,18,9532.0,0,0.5,Comprehensive,813.0,0,0
MOT700185,68.0,F,East,SUV,8,19253.0,0,11.5,Comprehensive,636.0,1,0
MOT700186,70.0,F,Central,Sedan,4,17174.0,0,11.3,Comprehensive,640.0,1,0
MOT700187,79.0,M,North,Hatchback,9,10539.0,1,3.2,Comprehensive,742.0,0,0
MOT700188,70.0,M,East,Sedan,2,11825.0,0,2.9,ThirdParty,830.0,1,0
MOT700189,50.0,F,South,Hatchback,0,10871.0,0,2.1,ThirdParty,806.0,0,0
MOT700190,32.0,F,East,Sedan,5,19563.0,1,1.3,Comprehensive,823.0,0,0
MOT700191,53.0,M,West,Sports,5,9974.0,1,2.7,Comprehensive,663.0,1,1
MOT700192,41.0,M,West,SUV,7,16346.0,1,0.5,Comprehensive,532.0,0,1
MOT700193,18.0,M,North,SUV,19,17861.0,0,8.8,Comprehensive,597.0,1,0
MOT700194,,F,South,Hatchback,8,10536.0,1,2.7,Comprehensive,671.0,0,0
MOT700195,52.0,M,East,Sedan,13,16709.0,0,1.1,ThirdParty,317.0,0,0
MOT700196,66.0,M,West,Hatchback,2,7429.0,1,3.1,Comprehensive,,0,1
MOT700197,59.0,F,West,Sedan,7,15754.0,0,2.1,Comprehensive,865.0,0,0
MOT700198,25.0,M,West,Sedan,9,14334.0,0,4.8,ThirdParty,551.0,0,0
MOT700199,23.0,F,East,Sports,14,9726.0,1,3.1,ThirdParty,502.0,0,0
MOT700200,72.0,F,South,SUV,4,13343.0,0,28.5,Premium,684.0,0,0
MOT700201,76.0,F,South,SUV,2,7107.0,0,10.6,ThirdParty,621.0,0,0
MOT700202,62.0,M,North,SUV,6,16377.0,0,3.5,Comprehensive,319.0,0,0
MOT700203,75.0,M,North,Van,6,7062.0,1,2.5,ThirdParty,624.0,1,0
MOT700204,56.0,F,South,Sedan,16,16687.0,0,3.9,Premium,670.0,1,1
MOT700205,60.0,F,West,Sports,11,19264.0,0,7.2,Premium,792.0,1,0
MOT700206,29.0,M,South,Hatchback,15,7155.0,0,7.2,Comprehensive,891.0,1,0
MOT700207,72.0,M,East,Sedan,18,17093.0,0,4.2,ThirdParty,846.0,0,0
MOT700208,60.0,F,Central,Sedan,8,9923.0,0,2.7,Comprehensive,614.0,0,0
MOT700209,27.0,F,West,Sedan,0,13156.0,0,0.1,Comprehensive,778.0,0,0
MOT700210,26.0,F,South,Van,18,15328.0,1,1.6,Comprehensive,899.0,0,1
MOT700211,43.0,M,North,Van,12,,1,4.7,ThirdParty,789.0,1,1
MOT700212,18.0,M,East,Hatchback,7,2932.0,2,1.7,Comprehensive,383.0,0,1
MOT700213,30.0,M,North,Hatchback,18,,0,2.6,ThirdParty,555.0,1,0
MOT700214,29.0,M,South,SUV,18,18886.0,1,0.1,ThirdParty,427.0,0,0
MOT700215,20.0,F,North,Sedan,12,9605.0,2,0.5,ThirdParty,578.0,0,0
MOT700216,21.0,M,West,Hatchback,19,16090.0,0,11.3,Comprehensive,735.0,0,1
MOT700217,45.0,F,South,SUV,6,11790.0,0,1.1,Comprehensive,560.0,0,1
MOT700218,57.0,F,Central,Hatchback,19,10313.0,1,1.0,Comprehensive,687.0,0,0
MOT700219,56.0,F,Central,Hatchback,19,17771.0,0,2.9,Comprehensive,441.0,0,0
MOT700220,67.0,M,South,Hatchback,2,11481.0,0,6.8,ThirdParty,357.0,0,0
MOT700221,54.0,F,West,Hatchback,19,12555.0,0,24.2,Comprehensive,713.0,0,1
MOT700222,74.0,F,Central,Van,0,5223.0,0,2.5,Comprehensive,361.0,1,0
MOT700223,34.0,F,East,SUV,8,15741.0,0,0.5,Premium,712.0,0,0
MOT700224,48.0,M,West,Hatchback,8,9495.0,1,5.0,Comprehensive,826.0,0,0
MOT700225,21.0,M,West,Sports,4,11636.0,0,0.8,Premium,305.0,1,0
MOT700226,47.0,M,East,Sedan,8,15056.0,0,0.3,ThirdParty,682.0,0,0
MOT700227,67.0,M,West,Hatchback,13,9889.0,0,3.3,Comprehensive,726.0,1,0
MOT700228,26.0,F,South,Sedan,17,10532.0,0,2.2,Comprehensive,544.0,0,0
MOT700229,67.0,M,South,Hatchback,2,9528.0,1,6.6,ThirdParty,823.0,0,0
MOT700230,58.0,F,North,SUV,9,10845.0,0,1.4,ThirdParty,529.0,0,0
MOT700231,41.0,F,East,Sedan,17,12754.0,0,0.1,Comprehensive,710.0,1,0
MOT700232,47.0,M,West,Sedan,12,8123.0,0,8.3,Premium,518.0,0,1
MOT700233,74.0,M,West,Hatchback,4,18706.0,1,2.4,Premium,636.0,0,0
MOT700234,31.0,M,Central,Sedan,0,16295.0,0,30.0,Comprehensive,425.0,0,0
MOT700235,62.0,F,East,Van,14,11483.0,0,7.1,ThirdParty,562.0,0,0
MOT700236,21.0,F,West,Sedan,3,7626.0,0,0.1,Comprehensive,892.0,0,0
MOT700237,61.0,M,Central,Van,3,10361.0,0,2.1,Premium,307.0,0,0
MOT700238,76.0,F,East,Hatchback,18,14216.0,1,2.6,Comprehensive,531.0,1,1
MOT700239,35.0,M,North,Hatchback,12,20901.0,0,0.6,Comprehensive,874.0,0,0
MOT700240,64.0,M,East,Hatchback,13,14716.0,0,1.6,ThirdParty,681.0,1,0
MOT700241,40.0,F,North,SUV,6,5886.0,0,6.2,ThirdParty,652.0,0,0
MOT700242,73.0,M,South,SUV,13,10718.0,0,6.4,ThirdParty,388.0,0,0
MOT700243,79.0,F,Central,Hatchback,9,8567.0,0,5.1,Comprehensive,638.0,1,1
MOT700244,49.0,F,Central,Sedan,0,10325.0,0,4.5,ThirdParty,454.0,0,0
MOT700245,18.0,M,South,Sedan,2,10173.0,0,3.6,Comprehensive,638.0,0,0
MOT700246,79.0,F,West,Sedan,2,8632.0,0,2.6,Comprehensive,812.0,0,0
MOT700247,74.0,M,Central,Van,13,15611.0,0,2.9,Premium,409.0,0,0
MOT700248,69.0,F,West,Sedan,14,1790.0,0,0.1,Comprehensive,350.0,0,0
MOT700249,74.0,M,East,Hatchback,0,14791.0,0,0.8,Comprehensive,858.0,0,0
MOT700250,19.0,F,West,Hatchback,3,16464.0,0,1.8,Comprehensive,726.0,0,0
MOT700251,59.0,M,East,SUV,13,6901.0,0,5.3,Comprehensive,395.0,0,0
MOT700252,72.0,F,West,SUV,19,12952.0,1,0.2,ThirdParty,,0,0
MOT700253,69.0,F,Central,Sedan,9,11890.0,1,19.1,Comprehensive,350.0,0,0
MOT700254,66.0,F,North,Sedan,5,6147.0,0,11.8,Comprehensive,567.0,1,0
MOT700255,75.0,F,South,Van,1,17932.0,1,1.2,Comprehensive,874.0,0,0
MOT700256,41.0,F,South,Hatchback,17,20410.0,0,2.1,ThirdParty,550.0,1,0
MOT700257,74.0,M,North,SUV,19,15490.0,0,11.4,ThirdParty,792.0,1,0
MOT700258,76.0,F,Central,Sedan,5,6911.0,0,11.4,ThirdParty,746.0,0,0
MOT700259,18.0,F,North,SUV,5,16202.0,1,9.3,Comprehensive,542.0,0,0
MOT700260,65.0,M,East,Van,10,11437.0,1,6.9,ThirdParty,657.0,0,0
MOT700261,44.0,M,South,Sedan,4,8804.0,0,3.8,Comprehensive,334.0,0,0
MOT700262,50.0,M,East,Sedan,14,17912.0,0,2.1,ThirdParty,688.0,1,0
MOT700263,46.0,M,North,Sedan,10,,0,1.9,ThirdParty,599.0,0,0
MOT700264,71.0,F,West,Sedan,7,8264.0,0,18.5,Comprehensive,773.0,0,0
MOT700265,19.0,M,West,Sedan,6,12163.0,0,2.6,ThirdParty,753.0,0,0
MOT700266,64.0,F,Central,Sedan,13,9894.0,0,4.2,Comprehensive,429.0,0,0
MOT700267,73.0,M,North,Sedan,3,5869.0,0,11.7,Premium,789.0,0,1
MOT700268,39.0,M,Central,SUV,15,13580.0,0,7.2,ThirdParty,388.0,0,0
MOT700269,33.0,F,West,Van,6,15174.0,0,0.4,Premium,650.0,0,0
MOT700270,39.0,M,South,SUV,14,9591.0,1,8.0,Comprehensive,787.0,0,0
MOT700271,53.0,F,North,Sedan,5,13931.0,0,1.8,ThirdParty,649.0,0,0
MOT700272,24.0,F,South,Hatchback,15,15503.0,0,14.6,ThirdParty,610.0,0,0
MOT700273,77.0,F,Central,Hatchback,5,6415.0,0,0.1,ThirdParty,,1,0
MOT700274,61.0,F,Central,Sedan,1,15817.0,0,7.4,Comprehensive,620.0,1,0
MOT700275,23.0,F,West,Sedan,14,8252.0,0,3.3,Premium,543.0,0,0
MOT700276,75.0,F,South,Sedan,13,15534.0,0,1.2,Comprehensive,400.0,0,1
MOT700277,57.0,F,North,Van,6,11835.0,0,0.6,Comprehensive,392.0,0,0
MOT700278,34.0,F,West,Van,2,15884.0,0,2.7,ThirdParty,314.0,0,0
MOT700279,68.0,F,Central,SUV,5,3626.0,0,10.7,Comprehensive,372.0,1,0
MOT700280,28.0,M,West,Van,0,14709.0,1,2.2,Premium,757.0,1,0
MOT700281,51.0,M,Central,Hatchback,4,15861.0,0,4.5,ThirdParty,771.0,1,0
MOT700282,60.0,M,West,Sports,19,13357.0,0,12.7,Premium,563.0,0,0
MOT700283,32.0,M,East,Van,8,23891.0,1,3.4,Comprehensive,682.0,0,0
MOT700284,60.0,M,North,Hatchback,6,9863.0,0,2.1,Comprehensive,758.0,0,0
MOT700285,24.0,F,South,Sedan,18,14168.0,0,0.7,Premium,796.0,0,1
MOT700286,44.0,F,West,Hatchback,3,17467.0,0,8.3,ThirdParty,660.0,0,1
MOT700287,49.0,M,East,Hatchback,12,19014.0,0,5.7,Premium,611.0,0,0
MOT700288,,M,North,SUV,11,10478.0,0,14.6,Comprehensive,571.0,0,0
MOT700289,37.0,M,East,Hatchback,9,14528.0,0,4.0,Comprehensive,838.0,0,1
MOT700290,28.0,M,West,Sports,12,13210.0,0,3.0,Premium,492.0,0,1
MOT700291,62.0,F,West,Sedan,11,5414.0,1,2.8,Premium,650.0,0,0
MOT700292,75.0,F,South,Sedan,13,9648.0,0,4.2,Comprehensive,695.0,1,0
MOT700293,74.0,F,West,Hatchback,7,9247.0,0,2.0,Premium,847.0,0,0
MOT700294,33.0,M,East,SUV,6,10425.0,2,11.8,Comprehensive,486.0,0,1
MOT700295,27.0,M,Central,Hatchback,15,18945.0,0,14.6,ThirdParty,900.0,1,0
MOT700296,47.0,F,East,Hatchback,11,6421.0,1,10.1,ThirdParty,502.0,1,0
MOT700297,46.0,F,North,Van,16,11804.0,0,5.8,ThirdParty,383.0,1,0
