policy_id,policy_start_date,age,occupation,region,policy_type,channel,payment_frequency,policy_tenure_years,annual_premium,sum_assured,num_late_payments,claims_count,has_agent,will_lapse
POL100041,2022-02-26,58.0,Software Developer,Central,WholeLife,Bancassurance,Annual,2.1,,340102.0,2,0,0,1
POL100042,2022-05-30,55.0,Shop Owner,South,ULIP,Bancassurance,Monthly,4.4,2573.0,66898.0,0,0,0,0
POL100043,2024-09-28,38.0,Architect,Central,WholeLife,Agent,Annual,0.7,18424.0,460600.0,0,2,1,1
POL100044,2021-03-27,24.0,Lawyer,Central,Endowment,Broker,Monthly,1.1,10597.0,254328.0,1,0,0,0
POL100045,2019-08-09,68.0,Accountant,South,Term,Bancassurance,Annual,0.9,6571.0,177417.0,2,1,0,1
POL100046,2023-01-21,42.0,Chef,East,ULIP,Bancassurance,Quarterly,2.5,16277.0,797573.0,1,0,0,0
POL100047,2024-11-06,64.0,Lawyer,West,Term,Agent,Monthly,5.0,7053.0,119901.0,0,1,1,0
POL100048,2020-01-09,54.0,Architect,East,ULIP,Agent,Monthly,3.4,7015.0,112240.0,1,1,1,0
POL100049,2024-12-12,59.0,Mechanic,West,ULIP,Online,Monthly,0.1,11839.0,461721.0,3,0,0,1
POL100050,2022-04-05,58.0,Plumber,South,Term,Agent,Monthly,1.0,24113.0,602825.0,1,0,1,0
POL100051,2022-05-18,30.0,Welder,Central,Endowment,Agent,Annual,5.0,22288.0,1158976.0,1,1,1,0
POL100052,2024-10-12,38.0,Engineer,West,ULIP,Agent,Monthly,4.1,11847.0,568656.0,1,0,1,0
POL100053,2021-01-01,43.0,Nurse,North,WholeLife,Agent,Annual,1.3,12471.0,611079.0,2,0,1,1
POL100054,2023-06-28,45.0,Plumber,South,Endowment,Bancassurance,Monthly,1.5,14702.0,514570.0,1,1,0,1
POL100055,2019-01-19,23.0,Salesperson,West,ULIP,Online,Quarterly,6.0,5279.0,179486.0,1,1,0,1
POL100056,2023-01-17,47.0,Shop Owner,South,Term,Agent,Annual,2.9,,464372.0,0,0,1,0
POL100057,2019-02-04,28.0,Teacher,East,WholeLife,Online,Quarterly,3.6,6857.0,157711.0,2,0,0,1
POL100058,2019-01-10,57.0,Civil Servant,West,ULIP,Agent,Annual,2.3,,464240.0,1,1,1,1
POL100059,2021-05-03,54.0,Nurse,South,Term,Agent,Annual,5.5,8833.0,468149.0,0,1,1,0
POL100060,2021-03-30,66.0,Tailor,Central,ULIP,Online,Quarterly,8.9,12716.0,330616.0,2,0,0,0
POL100061,2023-09-19,,Shop Owner,West,ULIP,Online,Quarterly,13.4,10499.0,178483.0,1,0,0,0
POL100062,2024-05-15,38.0,Doctor,East,ULIP,Agent,Monthly,4.5,2129.0,85160.0,2,1,1,1
POL100063,2024-09-04,68.0,Plumber,South,Term,Online,Monthly,2.1,10823.0,346336.0,2,1,0,1
POL100064,2022-10-03,41.0,Mechanic,South,ULIP,Agent,Monthly,0.6,13644.0,682200.0,0,0,1,0
POL100065,2019-12-07,36.0,Teacher,North,ULIP,Online,Annual,0.1,12369.0,655557.0,0,0,0,1
POL100066,2023-01-15,65.0,Nurse,North,Term,Agent,Quarterly,12.4,9402.0,535914.0,1,0,1,0
POL100067,2021-12-09,39.0,Civil Servant,West,Term,Bancassurance,Quarterly,5.4,22496.0,719872.0,2,0,0,0
POL100068,2022-03-10,24.0,Accountant,West,WholeLife,Online,Annual,2.0,11564.0,636020.0,2,0,0,1
POL100069,2022-01-08,44.0,Lawyer,North,Endowment,Agent,Monthly,3.8,12318.0,246360.0,2,0,1,0
POL100070,2024-04-26,59.0,Architect,East,Endowment,Online,Annual,7.6,16685.0,517235.0,2,0,0,0
POL100071,2021-04-16,30.0,,South,WholeLife,Bancassurance,Monthly,15.5,11864.0,308464.0,3,0,0,0
POL100072,2024-10-22,43.0,Accountant,West,Term,Agent,Monthly,0.9,6317.0,353752.0,0,0,1,0
POL100073,2022-04-02,27.0,Shop Owner,East,ULIP,Online,Quarterly,3.6,2924.0,122808.0,1,0,0,1
POL100074,2023-02-22,54.0,Lawyer,West,Endowment,Bancassurance,Monthly,6.4,7797.0,241707.0,2,0,0,0
POL100075,2024-07-28,44.0,,West,Term,Agent,Quarterly,18.6,14479.0,304059.0,4,0,1,1
POL100076,2023-11-27,37.0,Chef,North,WholeLife,Broker,Quarterly,5.7,8295.0,414750.0,0,0,0,0
POL100077,2021-08-22,32.0,Plumber,West,ULIP,Agent,Annual,3.9,14773.0,650012.0,3,0,1,0
POL100078,2020-03-25,48.0,Accountant,Central,Term,Bancassurance,Monthly,4.6,10661.0,565033.0,1,0,0,1
POL100079,2019-10-31,53.0,Doctor,Central,WholeLife,Bancassurance,Monthly,1.4,18846.0,640764.0,1,0,0,0
POL100080,2021-03-11,67.0,Plumber,West,WholeLife,Broker,Monthly,4.6,8539.0,179319.0,1,0,0,0
POL100081,2023-01-03,42.0,Mechanic,East,ULIP,Online,Monthly,7.9,12504.0,375120.0,2,1,0,1
POL100082,2023-10-23,28.0,Salesperson,East,Term,Bancassurance,Monthly,1.2,12746.0,535332.0,3,0,0,1
POL100083,2019-03-11,61.0,Pharmacist,North,Term,Agent,Monthly,10.8,20969.0,524225.0,0,0,1,0
POL100084,2021-10-13,51.0,Police Officer,West,ULIP,Agent,Annual,0.4,4216.0,75888.0,2,0,1,1
POL100085,2024-08-30,55.0,Police Officer,North,WholeLife,Bancassurance,Annual,2.0,7870.0,409240.0,0,0,0,1
POL100086,2023-12-14,25.0,Tailor,South,Term,Agent,Annual,0.7,15127.0,574826.0,2,1,1,0
POL100087,2024-08-29,36.0,Welder,East,Endowment,Bancassurance,Monthly,0.3,21439.0,686048.0,3,0,0,1
POL100088,2024-10-06,58.0,Teacher,East,Term,Agent,Quarterly,14.7,11159.0,435201.0,2,2,1,0
POL100089,2019-07-22,61.0,Nurse,South,Endowment,Agent,Monthly,1.3,8550.0,410400.0,2,0,1,0
POL100090,2023-02-07,42.0,Chef,West,Endowment,Agent,Monthly,2.9,14452.0,216780.0,0,1,1,1
POL100091,2022-04-26,60.0,Banker,Central,Term,Online,Monthly,3.9,15281.0,519554.0,2,0,0,0
POL100092,2021-11-16,62.0,Accountant,Central,Endowment,Agent,Annual,0.6,8268.0,214968.0,1,1,1,0
POL100093,2023-10-21,39.0,Banker,East,Endowment,Agent,Quarterly,1.4,11674.0,221806.0,3,0,1,0
POL100094,2024-08-18,65.0,Nurse,East,Endowment,Broker,Monthly,1.3,17859.0,285744.0,3,0,0,1
POL100095,2021-10-19,35.0,Banker,East,WholeLife,Bancassurance,Quarterly,1.5,25469.0,865946.0,0,0,0,0
POL100096,2022-11-28,32.0,Software Developer,Central,Term,Bancassurance,Annual,2.6,14347.0,559533.0,1,0,0,0
POL100097,2021-11-19,54.0,Banker,Central,Term,Agent,Monthly,1.6,,374366.0,2,0,1,0
POL100098,2022-10-30,52.0,Software Developer,North,Endowment,Agent,Annual,6.7,9633.0,481650.0,2,0,1,0
POL100099,2024-11-04,27.0,Plumber,West,Endowment,Online,Monthly,2.9,13078.0,457730.0,1,1,0,0
POL100100,2023-11-21,,Nurse,North,Term,Agent,Monthly,2.1,9341.0,382981.0,1,0,1,0
POL100101,2020-05-22,30.0,Welder,West,WholeLife,Agent,Annual,1.0,10882.0,554982.0,2,1,1,0
POL100102,2024-03-22,60.0,Tailor,South,Term,Broker,Monthly,5.7,5832.0,256608.0,2,1,0,0
POL100103,2022-03-03,21.0,Shop Owner,East,Term,Agent,Quarterly,1.9,18930.0,1041150.0,3,0,1,0
POL100104,2022-07-09,60.0,Security Guard,West,ULIP,Broker,Monthly,2.0,5597.0,134328.0,1,0,0,0
POL100105,2019-09-10,59.0,Nurse,South,WholeLife,Agent,Quarterly,13.3,7974.0,398700.0,1,0,1,0
POL100106,2021-09-05,59.0,Mechanic,North,Endowment,Agent,Quarterly,0.2,10392.0,478032.0,0,0,1,0
POL100107,2020-10-27,53.0,Engineer,East,Term,Agent,Annual,2.1,26782.0,1098062.0,2,0,1,0
POL100108,2019-07-13,44.0,Carpenter,Central,Endowment,Broker,Annual,3.7,8012.0,120180.0,2,0,0,1
POL100109,2024-02-15,55.0,Driver,North,Term,Online,Quarterly,5.5,7094.0,276666.0,0,0,0,0
POL100110,2019-10-12,34.0,Accountant,South,Endowment,Bancassurance,Monthly,5.3,7515.0,398295.0,0,0,0,0
POL100111,2023-04-26,59.0,Police Officer,East,ULIP,Agent,Monthly,1.3,22685.0,998140.0,0,0,1,1
POL100112,2023-06-28,48.0,Carpenter,South,Endowment,Bancassurance,Quarterly,0.1,2426.0,36390.0,3,0,0,0
POL100113,2022-09-08,43.0,Doctor,Central,Endowment,Online,Monthly,4.4,5995.0,161865.0,0,0,0,0
POL100114,2024-01-23,45.0,Accountant,East,ULIP,Online,Monthly,3.6,38779.0,1551160.0,0,0,0,0
POL100115,2019-09-08,48.0,Software Developer,East,Term,Bancassurance,Annual,0.4,13299.0,678249.0,1,2,0,1
POL100116,2019-02-05,,Civil Servant,North,Term,Bancassurance,Monthly,2.8,5693.0,199255.0,0,0,0,0
POL100117,2024-02-15,27.0,Carpenter,North,ULIP,Online,Monthly,0.8,9692.0,513676.0,2,0,0,0
POL100118,2020-02-08,,Nurse,North,Term,Agent,Annual,0.5,10237.0,511850.0,1,1,1,0
POL100119,2020-10-17,26.0,Carpenter,North,Term,Bancassurance,Quarterly,3.4,15109.0,407943.0,0,0,0,1
POL100120,2023-02-26,42.0,Welder,East,Term,Agent,Quarterly,4.5,24829.0,571067.0,0,1,1,0
POL100121,2022-03-22,53.0,Mechanic,Central,Endowment,Broker,Monthly,3.9,12019.0,661045.0,2,0,0,0
POL100122,2020-03-18,53.0,Accountant,West,Endowment,Agent,Monthly,1.5,7556.0,309796.0,1,0,1,0
POL100123,2020-05-28,44.0,Tailor,South,Endowment,Agent,Quarterly,3.7,14670.0,777510.0,2,1,1,0
POL100124,2024-01-14,62.0,Architect,North,Endowment,Agent,Monthly,2.4,6980.0,390880.0,3,0,1,1
POL100125,2022-02-19,48.0,Accountant,East,Endowment,Online,Quarterly,2.9,5904.0,200736.0,3,0,0,0
POL100126,2024-07-22,24.0,Software Developer,West,Term,Agent,Monthly,5.1,4105.0,69785.0,3,0,1,1
POL100127,2022-05-21,58.0,Tailor,West,ULIP,Bancassurance,Monthly,3.6,4525.0,248875.0,0,1,0,1
POL100128,2022-12-30,49.0,Engineer,East,WholeLife,Online,Monthly,4.0,6322.0,259202.0,0,0,0,0
POL100129,2021-01-19,52.0,Doctor,South,Endowment,Agent,Monthly,6.6,5492.0,109840.0,0,1,1,1
POL100130,2019-03-07,48.0,Driver,East,Endowment,Online,Monthly,1.8,11575.0,439850.0,0,0,0,0
POL100131,2022-01-18,48.0,,West,ULIP,Bancassurance,Quarterly,3.0,5433.0,86928.0,1,1,0,1
POL100132,2023-05-26,25.0,Doctor,Central,Term,Bancassurance,Quarterly,4.1,2055.0,57540.0,2,0,0,0
POL100133,2021-06-12,48.0,Architect,North,Term,Agent,Monthly,7.1,5873.0,176190.0,0,0,1,0
POL100134,2024-03-07,59.0,Security Guard,West,WholeLife,Broker,Quarterly,1.2,7817.0,273595.0,2,0,0,1
POL100135,2023-03-15,35.0,Lawyer,West,Term,Agent,Monthly,5.9,7312.0,292480.0,0,0,1,0
POL100136,2022-01-18,50.0,Architect,South,Term,Online,Monthly,1.3,21158.0,1100216.0,1,0,0,0
POL100137,2022-04-11,22.0,Shop Owner,North,Endowment,Bancassurance,Annual,1.6,,218460.0,1,0,0,0
POL100138,2020-05-15,38.0,Police Officer,South,Endowment,Agent,Quarterly,2.2,15374.0,737952.0,0,0,1,0
POL100139,2024-04-15,42.0,Police Officer,South,Endowment,Agent,Quarterly,0.5,9804.0,558828.0,1,0,1,1
POL100140,2019-05-11,69.0,Electrician,North,Term,Online,Monthly,8.6,9690.0,465120.0,2,3,0,1
POL100141,2019-04-20,31.0,Lawyer,South,ULIP,Agent,Monthly,7.9,6518.0,169468.0,1,0,1,1
POL100142,2023-09-22,34.0,Chef,North,Term,Agent,Quarterly,12.3,9610.0,432450.0,2,0,1,0
POL100143,2019-02-28,41.0,Electrician,Central,WholeLife,Agent,Quarterly,3.6,6751.0,182277.0,1,0,1,0
POL100144,2022-01-25,69.0,Banker,North,Term,Bancassurance,Quarterly,4.5,10775.0,387900.0,1,1,0,1
POL100145,2020-02-19,62.0,Shop Owner,East,Term,Agent,Annual,1.4,8794.0,378142.0,0,0,1,1
POL100146,2023-02-07,22.0,Mechanic,South,Endowment,Online,Monthly,0.1,6171.0,172788.0,1,0,0,0
POL100147,2019-09-18,32.0,Engineer,Central,Term,Broker,Annual,5.3,16252.0,243780.0,3,0,0,1
POL100148,2020-08-05,61.0,Lawyer,East,Endowment,Bancassurance,Quarterly,0.9,12252.0,637104.0,2,1,0,1
POL100149,2022-03-02,23.0,Mechanic,East,Term,Online,Monthly,1.2,7911.0,371817.0,0,0,0,0
POL100150,2021-04-11,62.0,Pharmacist,South,Endowment,Online,Monthly,19.9,10644.0,212880.0,1,0,0,1
POL100151,2020-03-16,34.0,Doctor,Central,Term,Agent,Quarterly,0.7,9491.0,294221.0,3,0,1,0
POL100152,2019-05-17,65.0,Teacher,West,Endowment,Agent,Monthly,0.4,6414.0,166764.0,1,0,1,0
POL100153,2019-02-05,35.0,Teacher,East,Term,Agent,Quarterly,0.3,10252.0,594616.0,2,0,1,0
POL100154,2020-02-27,42.0,,South,Term,Agent,Quarterly,4.3,7255.0,413535.0,0,1,1,0
POL100155,2020-09-13,53.0,Pharmacist,East,Term,Agent,Monthly,1.8,6170.0,283820.0,1,0,1,0
POL100156,2019-09-21,27.0,,South,ULIP,Online,Monthly,1.6,4397.0,149498.0,1,1,0,0
POL100157,2022-01-25,48.0,Pharmacist,West,ULIP,Agent,Quarterly,3.2,8273.0,140641.0,0,0,1,1
POL100158,2024-05-02,45.0,Software Developer,South,Term,Agent,Monthly,0.4,13141.0,341666.0,0,0,1,0
POL100159,2023-04-21,59.0,,South,Term,Bancassurance,Annual,0.6,6993.0,132867.0,1,1,0,1
POL100160,2020-11-06,69.0,Carpenter,East,Term,Agent,Monthly,10.0,34904.0,1745200.0,2,0,1,0
POL100161,2021-08-22,53.0,Welder,Central,Term,Bancassurance,Annual,8.5,15411.0,277398.0,0,0,0,0
POL100162,2023-08-20,41.0,Lawyer,East,Endowment,Agent,Monthly,3.3,18999.0,854955.0,0,1,1,0
POL100163,2024-10-18,40.0,Tailor,Central,Endowment,Online,Monthly,9.8,14730.0,839610.0,2,0,0,1
POL100164,2022-04-28,41.0,Engineer,East,WholeLife,Agent,Quarterly,0.3,24995.0,699860.0,0,0,1,0
POL100165,2020-03-14,60.0,Farmer,North,ULIP,Agent,Monthly,3.2,6678.0,300510.0,1,0,1,0
POL100166,2024-03-23,36.0,Mechanic,East,Term,Bancassurance,Monthly,4.6,2751.0,148554.0,1,0,0,1
POL100167,2022-02-04,29.0,Mechanic,Central,Term,Online,Monthly,7.4,7918.0,269212.0,1,0,0,0
POL100168,2019-03-07,37.0,Salesperson,Central,Term,Agent,Quarterly,3.4,13084.0,457940.0,1,1,1,0
POL100169,2020-07-11,22.0,Electrician,North,Term,Agent,Quarterly,3.4,10676.0,256224.0,1,0,1,0
POL100170,2022-03-17,26.0,,South,Endowment,Online,Monthly,1.4,11359.0,386206.0,1,0,0,0
POL100171,2023-11-10,25.0,Lawyer,West,Term,Agent,Monthly,4.4,19158.0,1034532.0,0,0,1,0
POL100172,2024-02-18,58.0,Carpenter,East,Term,Online,Monthly,0.5,11980.0,527120.0,1,0,0,1
POL100173,2020-02-18,56.0,Security Guard,Central,Term,Online,Annual,7.8,14757.0,354168.0,0,0,0,1
POL100174,2023-05-10,55.0,Engineer,East,ULIP,Online,Monthly,2.7,6187.0,235106.0,3,0,0,1
POL100175,2024-10-16,43.0,Software Developer,South,Term,Bancassurance,Quarterly,0.5,5723.0,263258.0,2,1,0,0
POL100176,2023-10-24,56.0,Mechanic,South,WholeLife,Agent,Monthly,1.4,22182.0,399276.0,1,0,1,0
POL100177,2023-04-26,28.0,Shop Owner,North,Endowment,Bancassurance,Quarterly,2.5,10409.0,510041.0,2,1,0,0
POL100178,2023-10-18,65.0,Software Developer,South,Term,Online,Annual,14.0,7247.0,173928.0,1,0,0,0
POL100179,2022-05-10,45.0,Driver,West,Endowment,Online,Monthly,4.5,7254.0,203112.0,1,1,0,1
POL100180,2022-08-27,66.0,Tailor,South,Endowment,Online,Quarterly,6.3,7154.0,236082.0,1,0,0,0
POL100181,2022-03-17,28.0,Carpenter,East,Endowment,Online,Monthly,18.5,6943.0,256891.0,0,0,0,0
POL100182,2024-10-03,45.0,Civil Servant,North,Endowment,Agent,Quarterly,5.5,5210.0,291760.0,1,1,1,0
POL100183,2021-03-08,55.0,Teacher,East,Term,Broker,Monthly,0.3,4674.0,116850.0,0,1,0,1
POL100184,2023-09-05,45.0,Police Officer,Central,Term,Broker,Monthly,5.0,8978.0,233428.0,2,0,0,0
POL100185,2019-02-16,42.0,Carpenter,West,Term,Agent,Monthly,5.9,7358.0,235456.0,3,2,1,0
POL100186,2021-07-09,29.0,Architect,West,ULIP,Online,Monthly,1.5,17216.0,912448.0,1,0,0,0
POL100187,2024-07-06,39.0,Engineer,South,Endowment,Bancassurance,Annual,0.7,11459.0,664622.0,0,0,0,0
POL100188,2020-06-19,32.0,Doctor,South,ULIP,Broker,Quarterly,3.3,11301.0,395535.0,1,0,0,1
POL100189,2023-10-15,35.0,Architect,North,WholeLife,Online,Monthly,24.9,6826.0,313996.0,0,0,0,0
POL100190,2022-01-10,54.0,Security Guard,Central,Endowment,Agent,Monthly,6.1,9316.0,521696.0,2,0,1,0
POL100191,2019-10-24,51.0,Electrician,Central,WholeLife,Online,Quarterly,8.2,11855.0,628315.0,4,1,0,0
POL100192,2019-08-23,50.0,Accountant,South,Endowment,Agent,Monthly,5.9,14159.0,637155.0,0,0,1,0
POL100193,2019-09-26,38.0,Shop Owner,West,Endowment,Online,Monthly,1.7,9443.0,368277.0,2,0,0,1
POL100194,2021-10-20,68.0,Carpenter,South,Endowment,Online,Quarterly,3.8,16976.0,1001584.0,2,0,0,1
POL100195,2020-11-08,25.0,Farmer,West,Term,Online,Monthly,11.7,9937.0,248425.0,1,0,0,0
POL100196,2024-05-22,37.0,Software Developer,North,Term,Agent,Monthly,1.4,14712.0,456072.0,0,0,1,0
POL100197,2023-08-06,26.0,Driver,South,Endowment,Online,Monthly,0.2,7747.0,364109.0,2,0,0,1
POL100198,2019-11-11,,Civil Servant,South,Term,Online,Monthly,25.0,3999.0,59985.0,0,0,0,0
POL100199,2022-01-11,68.0,Engineer,Central,Term,Agent,Quarterly,2.0,11318.0,418766.0,1,0,1,0
POL100200,2023-08-12,38.0,Mechanic,East,ULIP,Agent,Quarterly,18.5,14224.0,753872.0,1,1,1,0
POL100201,2022-12-10,65.0,Driver,South,Endowment,Agent,Annual,3.6,13196.0,290312.0,2,0,1,1
POL100202,2019-01-21,45.0,Doctor,North,Term,Bancassurance,Monthly,3.3,12223.0,623373.0,1,0,0,1
POL100203,2019-01-14,55.0,Banker,North,Term,Online,Quarterly,4.2,8314.0,274362.0,3,0,0,1
POL100204,2022-07-08,43.0,Chef,South,WholeLife,Online,Annual,3.5,6612.0,350436.0,3,1,0,1
POL100205,2024-07-25,34.0,Salesperson,South,WholeLife,Online,Quarterly,13.1,13041.0,560763.0,0,1,0,0
POL100206,2019-04-22,58.0,Lawyer,North,Endowment,Bancassurance,Annual,2.2,12249.0,269478.0,2,1,0,0
POL100207,2019-12-31,68.0,Accountant,West,Term,Online,Annual,0.7,7477.0,358896.0,1,0,0,0
POL100208,2020-02-20,33.0,Pharmacist,South,Endowment,Agent,Annual,7.8,17235.0,292995.0,1,0,1,0
POL100209,2020-12-02,59.0,Chef,South,Term,Agent,Annual,4.6,6365.0,159125.0,5,0,1,0
POL100210,2024-05-12,33.0,Chef,East,ULIP,Agent,Quarterly,0.1,7393.0,399222.0,3,0,1,0
POL100211,2024-09-14,56.0,Architect,South,Endowment,Bancassurance,Monthly,4.6,22431.0,1211274.0,0,0,0,0
POL100212,2020-11-05,59.0,Shop Owner,West,ULIP,Online,Annual,6.7,15280.0,259760.0,2,1,0,1
POL100213,2023-06-01,43.0,Security Guard,East,Endowment,Bancassurance,Annual,1.5,8275.0,264800.0,1,0,0,1
POL100214,2019-01-23,57.0,Civil Servant,Central,WholeLife,Bancassurance,Monthly,2.1,11426.0,217094.0,0,0,0,0
POL100215,2022-01-29,34.0,,West,Endowment,Bancassurance,Monthly,0.5,10694.0,288738.0,1,0,0,0
POL100216,2022-10-13,24.0,Farmer,South,Endowment,Broker,Monthly,1.4,2508.0,145464.0,0,1,0,0
POL100217,2024-03-13,25.0,Software Developer,North,Endowment,Online,Annual,4.5,6290.0,144670.0,0,0,0,1
POL100218,2023-12-13,,Doctor,North,Endowment,Agent,Monthly,0.1,9649.0,414907.0,2,0,1,1
POL100219,2019-05-15,65.0,,West,WholeLife,Agent,Monthly,6.0,8281.0,422331.0,0,0,1,0
POL100220,2021-06-27,27.0,Accountant,North,Endowment,Online,Monthly,11.6,,604746.0,1,0,0,0
POL100221,2019-06-17,43.0,Civil Servant,South,WholeLife,Bancassurance,Monthly,0.5,17409.0,522270.0,1,0,0,0
POL100222,2019-01-21,55.0,Shop Owner,North,Endowment,Online,Annual,2.3,8427.0,387642.0,1,2,0,0
POL100223,2019-12-08,,Civil Servant,South,Term,Agent,Monthly,0.9,5832.0,209952.0,1,0,1,0
POL100224,2024-08-14,56.0,Civil Servant,Central,Term,Bancassurance,Monthly,2.7,11643.0,221217.0,0,1,0,1
POL100225,2020-08-05,35.0,Banker,North,Term,Agent,Monthly,6.3,8406.0,210150.0,0,0,1,1
POL100226,2023-06-16,60.0,Nurse,Central,ULIP,Agent,Quarterly,4.3,9154.0,439392.0,0,0,1,0
POL100227,2023-04-09,49.0,Banker,Central,Term,Bancassurance,Quarterly,2.1,8554.0,384930.0,0,0,0,0
POL100228,2024-03-23,47.0,Carpenter,Central,Term,Online,Monthly,0.9,30361.0,1153718.0,1,0,0,0
POL100229,2022-03-17,29.0,Civil Servant,West,Term,Agent,Monthly,16.2,3228.0,161400.0,1,0,1,0
POL100230,2024-11-15,43.0,Lawyer,North,ULIP,Agent,Annual,1.2,8150.0,374900.0,4,0,1,0
POL100231,2021-07-26,62.0,Tailor,North,WholeLife,Online,Quarterly,1.5,9879.0,296370.0,2,0,0,0
POL100232,2023-09-29,21.0,Doctor,Central,ULIP,Agent,Quarterly,0.1,,187516.0,0,0,1,1
POL100233,2023-09-18,58.0,Shop Owner,South,Term,Agent,Monthly,17.8,15520.0,884640.0,1,0,1,0
